cell_id,Egretta gularis,Egretta gularis gularis,Egretta gularis schistacea
831ea4fffffffff,1.0,0.0,0.0
831eb4fffffffff,3.0,0.0,0.0
831ecafffffffff,1.0,0.0,0.0
831ed3fffffffff,1.0,0.0,0.0
831eebfffffffff,3.0,3.0,0.0
832a10fffffffff,10.0,0.0,0.0
832a30fffffffff,17.0,0.0,0.0
832a31fffffffff,5.0,0.0,0.0
832b2cfffffffff,3.0,0.0,0.0
832c93fffffffff,7.0,0.0,3.0
832c9efffffffff,10.0,0.0,5.0
832daefffffffff,2.0,0.0,0.0
833824fffffffff,1.0,0.0,0.0
833826fffffffff,7.0,0.0,0.0
833901fffffffff,2.0,0.0,0.0
833905fffffffff,16.0,2.0,0.0
83390cfffffffff,31.0,4.0,0.0
833911fffffffff,4.0,0.0,0.0
833918fffffffff,1.0,0.0,0.0
833919fffffffff,1.0,0.0,0.0
83391cfffffffff,1.0,0.0,0.0
833943fffffffff,3.0,0.0,0.0
833945fffffffff,13.0,0.0,0.0
833954fffffffff,17.0,0.0,0.0
83396cfffffffff,3.0,0.0,0.0
833971fffffffff,1.0,0.0,0.0
833972fffffffff,2.0,0.0,0.0
833973fffffffff,8.0,0.0,0.0
833974fffffffff,2.0,0.0,0.0
833975fffffffff,2.0,0.0,0.0
833980fffffffff,2.0,0.0,0.0
833982fffffffff,2.0,2.0,0.0
833c19fffffffff,1.0,0.0,1.0
833c89fffffffff,3.0,0.0,0.0
833c92fffffffff,2.0,0.0,0.0
833d10fffffffff,2.0,0.0,0.0
833db3fffffffff,2.0,0.0,0.0
833e68fffffffff,4.0,0.0,1.0
834253fffffffff,1.0,0.0,0.0
83425dfffffffff,1.0,0.0,0.0
8342c0fffffffff,8.0,0.0,0.0
8342c1fffffffff,5.0,0.0,1.0
8342c2fffffffff,1.0,0.0,0.0
8342c4fffffffff,6.0,0.0,2.0
8342c5fffffffff,2.0,0.0,0.0
8342c6fffffffff,3.0,0.0,3.0
8342cefffffffff,17.0,0.0,0.0
8342d1fffffffff,2.0,0.0,0.0
8342d5fffffffff,1.0,0.0,0.0
8342ddfffffffff,2.0,0.0,0.0
8342e3fffffffff,3.0,0.0,0.0
8342e4fffffffff,9.0,0.0,6.0
8342eafffffffff,10.0,0.0,0.0
834313fffffffff,2.0,0.0,0.0
834398fffffffff,4.0,0.0,4.0
8343a0fffffffff,10.0,0.0,0.0
8343a1fffffffff,5.0,0.0,0.0
8343a8fffffffff,22.0,0.0,1.0
8343acfffffffff,15.0,0.0,0.0
8343adfffffffff,1.0,0.0,0.0
8343aefffffffff,8.0,0.0,1.0
835215fffffffff,1.0,0.0,0.0
83521efffffffff,2.0,0.0,0.0
83534cfffffffff,1.0,0.0,0.0
83534dfffffffff,3.0,0.0,0.0
8354adfffffffff,2.0,2.0,0.0
8354b0fffffffff,2.0,0.0,0.0
8354c5fffffffff,4.0,4.0,0.0
8354eafffffffff,1.0,0.0,0.0
8354f5fffffffff,2.0,0.0,0.0
835512fffffffff,3.0,0.0,0.0
835e5dfffffffff,1.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f5bfffffffff,2.0,0.0,0.0
836002fffffffff,22.0,0.0,0.0
836004fffffffff,1.0,0.0,0.0
836006fffffffff,6.0,0.0,0.0
836011fffffffff,8.0,0.0,0.0
836013fffffffff,3.0,0.0,0.0
836014fffffffff,40.0,0.0,0.0
836015fffffffff,32.0,0.0,0.0
836016fffffffff,25.0,0.0,0.0
83601afffffffff,4.0,0.0,0.0
83601efffffffff,8.0,0.0,0.0
836022fffffffff,35.0,0.0,0.0
836026fffffffff,3.0,0.0,0.0
836030fffffffff,10.0,0.0,0.0
836031fffffffff,16.0,0.0,1.0
836032fffffffff,25.0,0.0,0.0
836033fffffffff,37.0,0.0,0.0
836035fffffffff,18.0,0.0,0.0
836036fffffffff,8.0,0.0,1.0
83608bfffffffff,8.0,0.0,1.0
83608efffffffff,1.0,0.0,0.0
836090fffffffff,1.0,0.0,0.0
836098fffffffff,1.0,0.0,0.0
83609efffffffff,15.0,0.0,0.0
8360a8fffffffff,9.0,0.0,0.0
8360a9fffffffff,22.0,0.0,3.0
8360aafffffffff,2.0,0.0,0.0
8360acfffffffff,3.0,0.0,0.0
8360adfffffffff,12.0,0.0,0.0
8360b1fffffffff,29.0,0.0,0.0
83611afffffffff,2.0,0.0,0.0
83611bfffffffff,5.0,0.0,0.0
836188fffffffff,7.0,0.0,0.0
836189fffffffff,18.0,0.0,0.0
83618cfffffffff,6.0,0.0,0.0
83618efffffffff,11.0,0.0,0.0
83619efffffffff,2.0,0.0,0.0
8361a9fffffffff,7.0,0.0,0.0
837a41fffffffff,3.0,0.0,0.0
837a6afffffffff,1.0,0.0,1.0
837ad9fffffffff,1.0,0.0,0.0
8382c0fffffffff,1.0,0.0,0.0
838c45fffffffff,28.0,0.0,0.0
