cell_id,Rupornis magnirostris,Rupornis magnirostris gracilis,Rupornis magnirostris [magnirostris Group],Rupornis magnirostris [pucherani Group]
824507fffffffff,1470.0,0.0,44.0,0.0
82450ffffffffff,5921.0,0.0,728.0,0.0
82451ffffffffff,59.0,0.0,19.0,0.0
824527fffffffff,8511.0,0.0,108.0,0.0
82452ffffffffff,18441.0,0.0,952.0,0.0
824537fffffffff,1649.0,0.0,0.0,0.0
82456ffffffffff,1.0,0.0,0.0,0.0
824577fffffffff,396.0,0.0,66.0,0.0
824807fffffffff,1.0,0.0,0.0,0.0
824837fffffffff,6.0,0.0,0.0,0.0
8248a7fffffffff,42.0,0.0,0.0,0.0
8248b7fffffffff,79.0,0.0,1.0,0.0
824987fffffffff,2.0,0.0,0.0,0.0
824997fffffffff,7100.0,0.0,903.0,0.0
82499ffffffffff,623.0,0.0,25.0,0.0
8249a7fffffffff,92.0,0.0,0.0,0.0
8249affffffffff,129.0,0.0,7.0,0.0
8249b7fffffffff,103.0,0.0,3.0,0.0
825f07fffffffff,5.0,0.0,0.0,0.0
825f0ffffffffff,291.0,0.0,0.0,0.0
825f17fffffffff,103.0,0.0,0.0,0.0
825f1ffffffffff,190.0,0.0,0.0,0.0
825f27fffffffff,5.0,0.0,0.0,0.0
825f2ffffffffff,922.0,0.0,0.0,0.0
825f47fffffffff,158.0,0.0,1.0,0.0
825f4ffffffffff,128.0,0.0,0.0,0.0
825f57fffffffff,21.0,0.0,0.0,0.0
825f5ffffffffff,2.0,0.0,0.0,0.0
825f67fffffffff,2.0,0.0,0.0,0.0
825f6ffffffffff,59.0,0.0,0.0,0.0
825f77fffffffff,161.0,0.0,2.0,0.0
826607fffffffff,844.0,0.0,9.0,0.0
82660ffffffffff,6149.0,0.0,54.0,0.0
826617fffffffff,4853.0,0.0,2.0,0.0
82661ffffffffff,17553.0,0.0,202.0,0.0
826627fffffffff,1281.0,0.0,86.0,0.0
82662ffffffffff,533.0,0.0,10.0,0.0
826637fffffffff,631.0,0.0,2.0,0.0
826647fffffffff,1275.0,0.0,1.0,0.0
82664ffffffffff,30.0,0.0,0.0,0.0
826657fffffffff,1397.0,0.0,7.0,0.0
82665ffffffffff,1378.0,0.0,39.0,0.0
826667fffffffff,220.0,0.0,0.0,0.0
82666ffffffffff,41.0,0.0,0.0,0.0
826677fffffffff,759.0,0.0,3.0,0.0
826687fffffffff,8.0,0.0,0.0,0.0
8266a7fffffffff,4039.0,0.0,0.0,0.0
8266affffffffff,2.0,0.0,0.0,0.0
8266b7fffffffff,19452.0,0.0,0.0,0.0
8266c7fffffffff,7396.0,0.0,67.0,0.0
8266cffffffffff,204.0,0.0,7.0,0.0
8266d7fffffffff,7668.0,0.0,709.0,0.0
8266dffffffffff,6903.0,0.0,766.0,0.0
8266e7fffffffff,29366.0,0.0,403.0,0.0
8266effffffffff,2056.0,0.0,7.0,0.0
8266f7fffffffff,9977.0,0.0,109.0,0.0
826747fffffffff,628.0,0.0,17.0,0.0
82674ffffffffff,3325.0,0.0,50.0,0.0
826757fffffffff,316.0,0.0,0.0,0.0
82675ffffffffff,1016.0,0.0,11.0,0.0
826797fffffffff,334.0,0.0,0.0,0.0
82679ffffffffff,3138.0,0.0,0.0,0.0
8267b7fffffffff,16.0,0.0,0.0,0.0
826d07fffffffff,812.0,0.0,163.0,0.0
826d17fffffffff,548.0,0.0,79.0,0.0
826d27fffffffff,2244.0,0.0,145.0,0.0
826d2ffffffffff,2059.0,0.0,84.0,0.0
826d37fffffffff,6296.0,0.0,403.0,0.0
826d67fffffffff,3538.0,0.0,0.0,0.0
826d6ffffffffff,12325.0,0.0,0.0,0.0
826d77fffffffff,1638.0,0.0,2.0,0.0
828007fffffffff,43.0,0.0,0.0,0.0
82800ffffffffff,41.0,0.0,0.0,0.0
828017fffffffff,535.0,0.0,0.0,8.0
828027fffffffff,12.0,0.0,0.0,0.0
82802ffffffffff,5.0,0.0,0.0,0.0
828037fffffffff,264.0,0.0,0.0,18.0
828047fffffffff,467.0,0.0,0.0,0.0
82804ffffffffff,17.0,0.0,0.0,0.0
828057fffffffff,42.0,0.0,0.0,0.0
828067fffffffff,39.0,0.0,0.0,0.0
82806ffffffffff,49.0,0.0,0.0,0.0
828077fffffffff,22.0,0.0,0.0,0.0
8280a7fffffffff,2.0,0.0,0.0,0.0
828107fffffffff,291.0,0.0,0.0,0.0
82810ffffffffff,5.0,0.0,0.0,0.0
828117fffffffff,124.0,0.0,0.0,0.0
82811ffffffffff,46.0,0.0,0.0,0.0
828127fffffffff,331.0,0.0,0.0,0.0
82812ffffffffff,49.0,0.0,0.0,0.0
828137fffffffff,483.0,0.0,0.0,0.0
828147fffffffff,185.0,0.0,0.0,0.0
82814ffffffffff,270.0,0.0,0.0,0.0
828157fffffffff,11.0,0.0,0.0,0.0
82815ffffffffff,116.0,0.0,0.0,0.0
828167fffffffff,139.0,0.0,0.0,0.0
828177fffffffff,97.0,0.0,0.0,0.0
828187fffffffff,562.0,0.0,0.0,0.0
82818ffffffffff,234.0,0.0,0.0,0.0
82819ffffffffff,131.0,0.0,0.0,0.0
8281a7fffffffff,36.0,0.0,0.0,0.0
8281affffffffff,178.0,0.0,0.0,0.0
828a07fffffffff,194.0,0.0,5.0,0.0
828a17fffffffff,38.0,0.0,0.0,0.0
828a1ffffffffff,24.0,0.0,6.0,0.0
828a27fffffffff,38.0,0.0,0.0,0.0
828a2ffffffffff,4.0,0.0,0.0,0.0
828a37fffffffff,18.0,0.0,0.0,0.0
828a47fffffffff,1110.0,0.0,5.0,0.0
828a4ffffffffff,6.0,0.0,0.0,0.0
828a57fffffffff,51.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,1.0,0.0
828a6ffffffffff,2086.0,0.0,0.0,0.0
828a77fffffffff,37.0,0.0,0.0,0.0
828a87fffffffff,70.0,0.0,0.0,0.0
828a8ffffffffff,46.0,0.0,3.0,0.0
828a97fffffffff,26.0,0.0,0.0,0.0
828a9ffffffffff,42.0,0.0,0.0,0.0
828aa7fffffffff,2.0,0.0,0.0,0.0
828aaffffffffff,188.0,0.0,3.0,0.0
828ab7fffffffff,3.0,0.0,0.0,0.0
828ad7fffffffff,1.0,0.0,0.0,0.0
828adffffffffff,172.0,0.0,0.0,0.0
828ae7fffffffff,6.0,0.0,0.0,0.0
828af7fffffffff,903.0,0.0,74.0,0.0
828b07fffffffff,82.0,0.0,0.0,7.0
828b0ffffffffff,302.0,0.0,0.0,30.0
828b17fffffffff,34.0,0.0,0.0,0.0
828b1ffffffffff,18.0,0.0,0.0,0.0
828b27fffffffff,1563.0,0.0,0.0,60.0
828b2ffffffffff,673.0,0.0,0.0,19.0
828b37fffffffff,112.0,0.0,0.0,3.0
828b47fffffffff,2059.0,0.0,0.0,0.0
828b4ffffffffff,25.0,0.0,0.0,0.0
828b57fffffffff,185.0,0.0,0.0,2.0
828b5ffffffffff,113.0,0.0,0.0,0.0
828b67fffffffff,2479.0,0.0,0.0,0.0
828b6ffffffffff,840.0,0.0,0.0,0.0
828b77fffffffff,407.0,0.0,0.0,8.0
828b87fffffffff,27.0,0.0,0.0,0.0
828b8ffffffffff,29.0,0.0,0.0,0.0
828b9ffffffffff,193.0,0.0,0.0,0.0
828ba7fffffffff,196.0,0.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0,0.0
828bb7fffffffff,529.0,0.0,0.0,0.0
828e67fffffffff,621.0,0.0,0.0,0.0
828e6ffffffffff,25.0,0.0,0.0,0.0
828f0ffffffffff,721.0,0.0,58.0,0.0
828f27fffffffff,23.0,0.0,2.0,0.0
828f2ffffffffff,1056.0,0.0,59.0,0.0
828f47fffffffff,1581.0,0.0,14.0,0.0
828f4ffffffffff,357.0,0.0,0.0,0.0
828f57fffffffff,536.0,0.0,4.0,0.0
828f5ffffffffff,217.0,0.0,0.0,0.0
828f67fffffffff,373.0,0.0,0.0,0.0
828f6ffffffffff,182.0,0.0,0.0,0.0
828f77fffffffff,2029.0,0.0,154.0,0.0
82a597fffffffff,267.0,0.0,0.0,0.0
82a807fffffffff,1024.0,0.0,0.0,69.0
82a80ffffffffff,102.0,0.0,0.0,0.0
82a817fffffffff,6854.0,0.0,0.0,303.0
82a81ffffffffff,3444.0,0.0,0.0,30.0
82a827fffffffff,385.0,0.0,0.0,0.0
82a82ffffffffff,212.0,0.0,0.0,0.0
82a837fffffffff,833.0,0.0,0.0,8.0
82a847fffffffff,1071.0,0.0,0.0,0.0
82a84ffffffffff,35.0,0.0,0.0,0.0
82a857fffffffff,120.0,0.0,0.0,0.0
82a85ffffffffff,4572.0,0.0,0.0,0.0
82a867fffffffff,250.0,0.0,0.0,0.0
82a86ffffffffff,115.0,0.0,0.0,0.0
82a877fffffffff,138.0,0.0,0.0,0.0
82a887fffffffff,844.0,0.0,0.0,0.0
82a88ffffffffff,389.0,0.0,0.0,0.0
82a897fffffffff,334.0,0.0,0.0,0.0
82a89ffffffffff,18.0,0.0,0.0,0.0
82a8a7fffffffff,3190.0,0.0,0.0,18.0
82a8affffffffff,1054.0,0.0,0.0,0.0
82a8b7fffffffff,41.0,0.0,0.0,0.0
82a8c7fffffffff,283.0,0.0,0.0,0.0
82a8cffffffffff,19.0,0.0,0.0,0.0
82a8d7fffffffff,600.0,0.0,0.0,0.0
82a8dffffffffff,143.0,0.0,0.0,0.0
82a8e7fffffffff,37.0,0.0,0.0,0.0
82a8effffffffff,45.0,0.0,0.0,0.0
82a8f7fffffffff,133.0,0.0,0.0,0.0
82a907fffffffff,272.0,0.0,0.0,10.0
82a90ffffffffff,409.0,0.0,0.0,3.0
82a91ffffffffff,527.0,0.0,0.0,1.0
82a927fffffffff,12.0,0.0,0.0,0.0
82a92ffffffffff,440.0,0.0,0.0,17.0
82a947fffffffff,3269.0,0.0,0.0,1.0
82a94ffffffffff,2196.0,0.0,0.0,0.0
82a957fffffffff,2338.0,0.0,0.0,0.0
82a95ffffffffff,584.0,0.0,0.0,0.0
82a967fffffffff,1132.0,0.0,0.0,25.0
82a96ffffffffff,1722.0,0.0,0.0,0.0
82a977fffffffff,446.0,0.0,0.0,0.0
82b20ffffffffff,29.0,0.0,0.0,0.0
82b22ffffffffff,1.0,0.0,0.0,0.0
82b247fffffffff,387.0,0.0,0.0,0.0
82b24ffffffffff,543.0,0.0,0.0,0.0
82b257fffffffff,7.0,0.0,0.0,0.0
82b25ffffffffff,931.0,0.0,0.0,0.0
82b267fffffffff,156.0,0.0,0.0,0.0
82b26ffffffffff,352.0,0.0,0.0,0.0
82b277fffffffff,386.0,0.0,0.0,0.0
82b2cffffffffff,5.0,0.0,0.0,0.0
82b2e7fffffffff,3.0,0.0,0.0,0.0
82b2effffffffff,41.0,0.0,0.0,0.0
82b327fffffffff,103.0,0.0,0.0,4.0
82b32ffffffffff,40.0,0.0,0.0,0.0
82b347fffffffff,1624.0,0.0,0.0,0.0
82b34ffffffffff,270.0,0.0,0.0,0.0
82b357fffffffff,572.0,0.0,0.0,0.0
82b35ffffffffff,2913.0,0.0,0.0,0.0
82b367fffffffff,211.0,0.0,0.0,5.0
82b36ffffffffff,347.0,0.0,0.0,0.0
82b377fffffffff,6.0,0.0,0.0,0.0
82c207fffffffff,98.0,0.0,0.0,0.0
82c21ffffffffff,651.0,0.0,0.0,0.0
82c227fffffffff,31.0,0.0,0.0,0.0
82c22ffffffffff,566.0,0.0,0.0,0.0
82c2c7fffffffff,1771.0,0.0,0.0,4.0
82c2cffffffffff,1868.0,0.0,0.0,0.0
82c2d7fffffffff,424.0,0.0,0.0,0.0
82c2dffffffffff,198.0,0.0,0.0,0.0
82c2e7fffffffff,6444.0,0.0,0.0,2.0
82c2effffffffff,756.0,0.0,0.0,0.0
82c2f7fffffffff,2806.0,0.0,0.0,11.0
82c347fffffffff,37.0,0.0,0.0,0.0
82c34ffffffffff,145.0,0.0,0.0,0.0
82c357fffffffff,104.0,0.0,0.0,0.0
82c35ffffffffff,51.0,0.0,0.0,0.0
82c367fffffffff,3.0,0.0,0.0,0.0
82c36ffffffffff,4.0,0.0,0.0,0.0
82c377fffffffff,21.0,0.0,0.0,0.0
82ce97fffffffff,2.0,0.0,0.0,0.0
