cell_id,Emberiza cioides,Emberiza cioides [cioides Group],Emberiza cioides ciopsis
831941fffffffff,1.0,0.0,0.0
8320f5fffffffff,6.0,0.0,0.0
832428fffffffff,5.0,0.0,0.0
832460fffffffff,2.0,0.0,0.0
832461fffffffff,2.0,0.0,0.0
832512fffffffff,3.0,1.0,0.0
83255afffffffff,13.0,0.0,0.0
8325acfffffffff,12.0,11.0,0.0
832f5afffffffff,1.0,0.0,1.0
83309bfffffffff,13.0,0.0,0.0
83309dfffffffff,4.0,0.0,0.0
833126fffffffff,7.0,0.0,0.0
833134fffffffff,2.0,0.0,0.0
8331abfffffffff,2.0,0.0,0.0
834192fffffffff,1.0,0.0,0.0
8341b5fffffffff,1.0,0.0,0.0
834b75fffffffff,3.0,0.0,0.0
834bb5fffffffff,1.0,0.0,0.0
