cell_id,Sicalis luteola,Sicalis luteola [chrysops Group],Sicalis luteola bogotensis,Sicalis luteola [luteola Group]
834505fffffffff,10.0,0.0,0.0,0.0
834521fffffffff,36.0,0.0,0.0,0.0
834523fffffffff,81.0,0.0,0.0,0.0
83452afffffffff,7.0,0.0,0.0,0.0
83452dfffffffff,4.0,0.0,0.0,0.0
83452efffffffff,71.0,0.0,0.0,0.0
834996fffffffff,73.0,47.0,0.0,0.0
835e46fffffffff,11.0,0.0,0.0,0.0
835e5dfffffffff,15.0,0.0,0.0,0.0
835e66fffffffff,21.0,0.0,0.0,0.0
835e70fffffffff,16.0,0.0,0.0,0.0
835e71fffffffff,7.0,0.0,0.0,0.0
835e72fffffffff,291.0,0.0,0.0,0.0
835f08fffffffff,13.0,0.0,0.0,0.0
835f0bfffffffff,2.0,0.0,0.0,0.0
835f29fffffffff,210.0,0.0,0.0,0.0
835f2bfffffffff,14.0,0.0,0.0,0.0
835f2dfffffffff,5.0,0.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0,0.0
835f4bfffffffff,1.0,0.0,0.0,1.0
835f58fffffffff,194.0,0.0,0.0,0.0
835f5bfffffffff,3.0,0.0,0.0,0.0
835f68fffffffff,8.0,0.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0,0.0
836600fffffffff,2.0,0.0,0.0,0.0
836606fffffffff,1.0,0.0,0.0,0.0
836608fffffffff,5.0,0.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0,0.0
83660bfffffffff,403.0,0.0,0.0,0.0
83660cfffffffff,3.0,0.0,0.0,0.0
83660dfffffffff,10.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0
83661afffffffff,3.0,0.0,0.0,0.0
83661bfffffffff,3.0,0.0,0.0,0.0
836629fffffffff,4.0,0.0,0.0,0.0
836641fffffffff,2.0,0.0,0.0,0.0
836646fffffffff,1.0,0.0,0.0,0.0
836650fffffffff,8.0,0.0,0.0,0.0
836652fffffffff,19.0,0.0,0.0,0.0
836654fffffffff,80.0,0.0,0.0,0.0
836656fffffffff,109.0,0.0,0.0,0.0
836660fffffffff,2.0,0.0,0.0,0.0
836663fffffffff,5.0,0.0,0.0,0.0
836664fffffffff,2.0,0.0,0.0,0.0
836670fffffffff,14.0,0.0,0.0,0.0
836672fffffffff,34.0,0.0,0.0,0.0
836673fffffffff,11.0,0.0,0.0,0.0
836675fffffffff,34.0,0.0,0.0,0.0
836676fffffffff,1.0,0.0,0.0,0.0
8366a0fffffffff,5.0,0.0,0.0,0.0
8366a1fffffffff,40.0,0.0,0.0,0.0
8366c0fffffffff,1.0,0.0,0.0,0.0
8366c2fffffffff,109.0,0.0,2.0,0.0
8366c4fffffffff,22.0,0.0,0.0,0.0
8366c6fffffffff,57.0,0.0,0.0,0.0
8366d1fffffffff,9.0,0.0,2.0,0.0
8366d3fffffffff,206.0,0.0,26.0,0.0
8366d4fffffffff,1.0,0.0,0.0,0.0
8366d5fffffffff,3.0,0.0,0.0,0.0
8366d6fffffffff,1.0,0.0,0.0,0.0
8366defffffffff,50.0,0.0,4.0,0.0
8366e0fffffffff,296.0,0.0,12.0,0.0
8366e1fffffffff,70.0,0.0,0.0,0.0
8366e2fffffffff,4.0,0.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0,0.0
8366e4fffffffff,875.0,0.0,72.0,0.0
8366e5fffffffff,146.0,0.0,0.0,0.0
8366e6fffffffff,121.0,0.0,0.0,0.0
8366ecfffffffff,5.0,0.0,0.0,0.0
8366eefffffffff,8.0,0.0,0.0,0.0
8366f1fffffffff,45.0,0.0,0.0,0.0
8366f5fffffffff,46.0,0.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,11.0,0.0,0.0,3.0
836759fffffffff,8.0,0.0,0.0,1.0
83675cfffffffff,1.0,0.0,0.0,0.0
836790fffffffff,2.0,0.0,0.0,0.0
836794fffffffff,4.0,0.0,0.0,0.0
8367b3fffffffff,2.0,0.0,0.0,0.0
836d25fffffffff,189.0,35.0,0.0,0.0
836d34fffffffff,359.0,39.0,0.0,0.0
