cell_id,Pseudotriccus pelzelni,Pseudotriccus pelzelni annectens/berlepschi,Pseudotriccus pelzelni pelzelni/peruvianus
836613fffffffff,2.0,0.0,0.0
836618fffffffff,11.0,0.0,0.0
836619fffffffff,1.0,0.0,0.0
83661bfffffffff,1223.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0
8366d0fffffffff,272.0,0.0,0.0
8366d3fffffffff,726.0,34.0,0.0
8366d5fffffffff,2.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366defffffffff,187.0,0.0,9.0
8366e6fffffffff,251.0,0.0,0.0
8366f0fffffffff,7.0,0.0,0.0
8366f1fffffffff,22.0,0.0,0.0
8366f3fffffffff,4.0,0.0,0.0
8366f5fffffffff,45.0,0.0,0.0
838e64fffffffff,8.0,0.0,0.0
838f0dfffffffff,32.0,0.0,0.0
838f42fffffffff,15.0,0.0,0.0
838f46fffffffff,11.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f54fffffffff,3.0,0.0,0.0
838f5dfffffffff,7.0,0.0,0.0
838f70fffffffff,9.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0
838f76fffffffff,8.0,0.0,0.0
