cell_id,Phylloscopus sindianus,Phylloscopus sindianus lorenzii,Phylloscopus sindianus sindianus
84209b7ffffffff,2.0,0.0,0.0
8420b3bffffffff,1.0,0.0,1.0
842c043ffffffff,76.0,7.0,0.0
842c049ffffffff,10.0,0.0,0.0
842c04bffffffff,4.0,0.0,0.0
842c04dffffffff,2.0,2.0,0.0
842c09dffffffff,2.0,2.0,0.0
842c103ffffffff,1.0,1.0,0.0
842c10bffffffff,2.0,0.0,0.0
842c215ffffffff,4.0,4.0,0.0
842c22dffffffff,4.0,2.0,0.0
842c933ffffffff,4.0,0.0,0.0
842c93bffffffff,21.0,1.0,0.0
842c9c9ffffffff,9.0,2.0,0.0
842cc3dffffffff,1.0,0.0,0.0
842cd4bffffffff,2.0,2.0,0.0
842ce4bffffffff,1.0,1.0,0.0
842cf15ffffffff,3.0,0.0,0.0
842cf31ffffffff,13.0,4.0,0.0
842cf35ffffffff,10.0,9.0,0.0
842da17ffffffff,3.0,0.0,0.0
843d005ffffffff,4.0,0.0,4.0
843d041ffffffff,9.0,0.0,0.0
843d047ffffffff,2.0,0.0,0.0
843d049ffffffff,8.0,0.0,6.0
843d04dffffffff,12.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0
843d223ffffffff,2.0,0.0,2.0
843d229ffffffff,6.0,0.0,0.0
843d301ffffffff,4.0,0.0,0.0
843d307ffffffff,3.0,0.0,0.0
843d30dffffffff,3.0,0.0,0.0
843d33dffffffff,1.0,0.0,0.0
843d353ffffffff,2.0,0.0,0.0
843d35dffffffff,4.0,0.0,0.0
843dac9ffffffff,6.0,0.0,0.0
843dad1ffffffff,5.0,0.0,0.0
8442221ffffffff,2.0,0.0,0.0
8442499ffffffff,7.0,0.0,0.0
84431e3ffffffff,3.0,3.0,0.0
844361dffffffff,2.0,0.0,0.0
8443647ffffffff,1.0,0.0,0.0
8443addffffffff,1.0,1.0,0.0
