cell_id,Spilopelia chinensis,Spilopelia chinensis suratensis/ceylonensis,Spilopelia chinensis chinensis/tigrina
83209afffffffff,192.0,1.0,0.0
83209bfffffffff,2.0,0.0,0.0
83209efffffffff,13.0,0.0,0.0
832488fffffffff,1.0,0.0,0.0
83248bfffffffff,14.0,0.0,0.0
83248cfffffffff,2.0,0.0,0.0
8324c0fffffffff,12.0,0.0,0.0
8324c2fffffffff,4.0,0.0,0.0
8324c6fffffffff,5.0,0.0,0.0
8324d0fffffffff,3.0,0.0,0.0
8324d1fffffffff,2.0,0.0,0.0
8324d2fffffffff,17.0,0.0,0.0
8324d6fffffffff,3.0,0.0,0.0
8324defffffffff,3.0,0.0,0.0
8329a5fffffffff,188.0,0.0,0.0
8329abfffffffff,15.0,0.0,0.0
8329acfffffffff,2.0,0.0,0.0
8329aefffffffff,49.0,0.0,0.0
833000fffffffff,2.0,0.0,0.0
833006fffffffff,8.0,0.0,0.0
833010fffffffff,4.0,0.0,0.0
833011fffffffff,24.0,0.0,0.0
833012fffffffff,4.0,0.0,0.0
833016fffffffff,3.0,0.0,0.0
83301efffffffff,2.0,0.0,0.0
833022fffffffff,2.0,0.0,0.0
833025fffffffff,4.0,0.0,0.0
833030fffffffff,9.0,0.0,0.0
833032fffffffff,7.0,0.0,0.0
833080fffffffff,9.0,0.0,0.0
833081fffffffff,48.0,0.0,0.0
833082fffffffff,2.0,0.0,0.0
833083fffffffff,128.0,0.0,0.0
833084fffffffff,21.0,0.0,0.0
83308efffffffff,49.0,0.0,2.0
833091fffffffff,96.0,0.0,1.0
833092fffffffff,19.0,0.0,8.0
833093fffffffff,2.0,0.0,0.0
833094fffffffff,2.0,0.0,1.0
833096fffffffff,18.0,0.0,5.0
833098fffffffff,537.0,0.0,2.0
833099fffffffff,513.0,0.0,0.0
83309afffffffff,656.0,0.0,4.0
83309bfffffffff,1272.0,0.0,7.0
83309cfffffffff,3.0,0.0,1.0
83309dfffffffff,247.0,0.0,9.0
83309efffffffff,40.0,0.0,0.0
8330a1fffffffff,9.0,0.0,0.0
8330a2fffffffff,10.0,0.0,0.0
8330a3fffffffff,17.0,0.0,0.0
8330a5fffffffff,4.0,0.0,0.0
8330acfffffffff,30.0,0.0,0.0
8330b5fffffffff,4.0,0.0,0.0
833150fffffffff,1.0,0.0,0.0
83316efffffffff,1.0,0.0,0.0
833181fffffffff,77.0,0.0,3.0
833182fffffffff,2.0,0.0,0.0
833183fffffffff,2.0,0.0,0.0
833185fffffffff,267.0,0.0,21.0
833188fffffffff,34.0,0.0,0.0
83318cfffffffff,117.0,0.0,0.0
83318dfffffffff,557.0,0.0,9.0
833190fffffffff,31.0,0.0,4.0
833191fffffffff,2.0,0.0,0.0
833192fffffffff,15.0,0.0,0.0
833199fffffffff,3.0,0.0,0.0
83319cfffffffff,1.0,0.0,0.0
83319dfffffffff,5.0,0.0,0.0
8331a1fffffffff,1.0,0.0,0.0
8331a3fffffffff,4.0,0.0,2.0
8331a8fffffffff,37.0,0.0,5.0
8331aafffffffff,1710.0,0.0,129.0
8331abfffffffff,6.0,0.0,0.0
8331aefffffffff,10.0,0.0,0.0
8331b1fffffffff,2.0,0.0,0.0
833c00fffffffff,2.0,0.0,0.0
833c02fffffffff,1797.0,291.0,0.0
833c03fffffffff,3.0,0.0,0.0
833c06fffffffff,53.0,0.0,0.0
833c0afffffffff,324.0,1.0,0.0
833c0bfffffffff,104.0,0.0,0.0
833c11fffffffff,180.0,0.0,0.0
833c12fffffffff,3.0,0.0,0.0
833c13fffffffff,77.0,0.0,0.0
833c14fffffffff,5.0,0.0,0.0
833c15fffffffff,456.0,4.0,0.0
833c16fffffffff,59.0,0.0,0.0
833c18fffffffff,67.0,0.0,0.0
833c19fffffffff,1039.0,2.0,0.0
833c1afffffffff,28.0,0.0,0.0
833c1bfffffffff,335.0,2.0,0.0
833c1cfffffffff,448.0,1.0,0.0
833c1dfffffffff,323.0,0.0,0.0
833c1efffffffff,50.0,0.0,0.0
833c30fffffffff,6.0,0.0,0.0
833c31fffffffff,35.0,0.0,0.0
833c32fffffffff,16.0,0.0,0.0
833c33fffffffff,337.0,0.0,0.0
833c34fffffffff,14.0,0.0,0.0
833c36fffffffff,160.0,0.0,0.0
833c52fffffffff,186.0,0.0,0.0
833c53fffffffff,24.0,0.0,0.0
833c58fffffffff,384.0,0.0,0.0
833c59fffffffff,11.0,0.0,0.0
833c5afffffffff,1740.0,0.0,0.0
833c5bfffffffff,136.0,0.0,0.0
833c5cfffffffff,1.0,0.0,0.0
833c5efffffffff,64.0,0.0,0.0
833c80fffffffff,226.0,0.0,0.0
833c81fffffffff,17.0,0.0,0.0
833c82fffffffff,11.0,0.0,0.0
833c83fffffffff,205.0,0.0,0.0
833c84fffffffff,32.0,0.0,0.0
833c85fffffffff,11.0,0.0,0.0
833c86fffffffff,3.0,0.0,0.0
833c88fffffffff,296.0,0.0,0.0
833c89fffffffff,711.0,4.0,0.0
833c8afffffffff,17.0,0.0,0.0
833c8cfffffffff,363.0,0.0,0.0
833c8dfffffffff,620.0,0.0,0.0
833c8efffffffff,1221.0,0.0,0.0
833c90fffffffff,305.0,0.0,0.0
833c91fffffffff,37.0,0.0,0.0
833c92fffffffff,482.0,0.0,0.0
833c93fffffffff,697.0,0.0,0.0
833c94fffffffff,691.0,0.0,0.0
833c95fffffffff,115.0,0.0,0.0
833c96fffffffff,100.0,0.0,0.0
833c9cfffffffff,69.0,0.0,0.0
833c9dfffffffff,276.0,0.0,0.0
833c9efffffffff,72.0,0.0,0.0
