cell_id,Troglodytes aedon,Troglodytes aedon [aedon Group],Troglodytes aedon [brunneicollis Group]
840e497ffffffff,5.0,0.0,0.0
840e49bffffffff,1.0,0.0,0.0
840e4d3ffffffff,2.0,0.0,0.0
840e805ffffffff,1.0,0.0,0.0
840ec51ffffffff,3.0,0.0,0.0
840ecbdffffffff,2.0,0.0,0.0
8412591ffffffff,2.0,0.0,0.0
8412597ffffffff,2.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0
8412891ffffffff,2.0,0.0,0.0
8412893ffffffff,2.0,0.0,0.0
84128bdffffffff,5.0,0.0,0.0
8412ad7ffffffff,2.0,0.0,0.0
8412c13ffffffff,1.0,0.0,0.0
8412c1dffffffff,2.0,0.0,0.0
8412c87ffffffff,4.0,0.0,0.0
8412cb1ffffffff,3.0,0.0,0.0
8412cc1ffffffff,1.0,0.0,0.0
8412ccdffffffff,14.0,4.0,0.0
8412cd9ffffffff,3.0,1.0,0.0
8412d17ffffffff,8.0,0.0,0.0
8412d27ffffffff,4.0,4.0,0.0
8412d3bffffffff,3.0,0.0,0.0
8412d43ffffffff,2.0,0.0,0.0
8412d67ffffffff,2.0,0.0,0.0
8412da5ffffffff,2.0,0.0,0.0
8412db5ffffffff,1.0,0.0,0.0
8412dd7ffffffff,2.0,0.0,0.0
8412ddbffffffff,9.0,1.0,0.0
8412de5ffffffff,4.0,0.0,0.0
8412de7ffffffff,2.0,2.0,0.0
8412dedffffffff,2.0,0.0,0.0
8412e1bffffffff,7.0,0.0,0.0
8412f2bffffffff,1.0,0.0,0.0
84138c7ffffffff,7.0,0.0,0.0
841aa07ffffffff,1.0,0.0,0.0
841aa3dffffffff,5.0,0.0,0.0
8426015ffffffff,5.0,5.0,0.0
8426017ffffffff,5.0,0.0,0.0
8426021ffffffff,2.0,0.0,0.0
842603bffffffff,1.0,0.0,0.0
842604bffffffff,2.0,0.0,0.0
8426059ffffffff,3.0,0.0,0.0
8426085ffffffff,14.0,2.0,0.0
8426087ffffffff,6.0,0.0,0.0
842608dffffffff,3.0,2.0,0.0
84260a1ffffffff,30.0,24.0,0.0
84260a9ffffffff,1.0,1.0,0.0
84260adffffffff,3.0,3.0,0.0
84260b9ffffffff,6.0,0.0,0.0
84260d9ffffffff,28.0,0.0,0.0
84260e3ffffffff,9.0,5.0,0.0
84260e7ffffffff,2.0,0.0,0.0
8426115ffffffff,2.0,0.0,0.0
842611dffffffff,2.0,0.0,0.0
8426127ffffffff,4.0,0.0,0.0
8426139ffffffff,1.0,0.0,0.0
8426233ffffffff,2.0,0.0,0.0
842623dffffffff,2.0,0.0,0.0
8426285ffffffff,2.0,0.0,0.0
8426291ffffffff,3.0,0.0,0.0
8426293ffffffff,2.0,0.0,0.0
84262b3ffffffff,23.0,0.0,0.0
84262c9ffffffff,2.0,0.0,0.0
84262d9ffffffff,2.0,0.0,0.0
84262dbffffffff,3.0,0.0,0.0
842640dffffffff,4.0,0.0,0.0
8426413ffffffff,1.0,0.0,0.0
8426415ffffffff,2.0,2.0,0.0
8426417ffffffff,3.0,0.0,0.0
842642bffffffff,3.0,0.0,0.0
842643bffffffff,4.0,0.0,0.0
842644dffffffff,2.0,0.0,0.0
8426461ffffffff,6.0,0.0,0.0
8426463ffffffff,13.0,0.0,0.0
8426481ffffffff,17.0,0.0,0.0
8426487ffffffff,4.0,0.0,0.0
8426489ffffffff,51.0,0.0,0.0
842648bffffffff,1.0,0.0,0.0
842648dffffffff,1.0,0.0,0.0
842649dffffffff,10.0,0.0,0.0
84264a1ffffffff,2.0,0.0,0.0
84264a5ffffffff,2.0,0.0,0.0
84264a7ffffffff,18.0,0.0,0.0
84264adffffffff,4.0,0.0,0.0
84264b9ffffffff,9.0,0.0,0.0
84264bbffffffff,3.0,0.0,0.0
84264c3ffffffff,2.0,1.0,0.0
84264c7ffffffff,15.0,4.0,0.0
84264cbffffffff,6.0,0.0,0.0
84264d1ffffffff,45.0,4.0,0.0
84264d5ffffffff,7.0,0.0,0.0
84264d9ffffffff,6.0,0.0,0.0
84264dbffffffff,3.0,2.0,0.0
84264e5ffffffff,31.0,0.0,0.0
84264e7ffffffff,2.0,0.0,0.0
8426501ffffffff,1.0,0.0,0.0
8426505ffffffff,2.0,0.0,0.0
842652bffffffff,12.0,0.0,0.0
8426531ffffffff,7.0,0.0,0.0
8426533ffffffff,4.0,2.0,0.0
842653bffffffff,3.0,0.0,0.0
842653dffffffff,61.0,0.0,0.0
842654dffffffff,2.0,0.0,0.0
8426555ffffffff,3.0,0.0,0.0
8426557ffffffff,5.0,3.0,0.0
8426559ffffffff,1.0,0.0,0.0
842655dffffffff,4.0,0.0,0.0
8426565ffffffff,2.0,2.0,0.0
8426567ffffffff,5.0,0.0,0.0
8426569ffffffff,2.0,0.0,0.0
8426597ffffffff,2.0,0.0,0.0
