cell_id,Nesotriccus murinus,Nesotriccus murinus incomtus/eremonomus,Nesotriccus murinus murinus/wagae
825f0ffffffffff,230.0,230.0,0.0
825f17fffffffff,65.0,65.0,0.0
825f1ffffffffff,54.0,53.0,0.0
825f2ffffffffff,356.0,66.0,0.0
825f47fffffffff,14.0,14.0,0.0
825f4ffffffffff,17.0,17.0,0.0
825f57fffffffff,10.0,10.0,0.0
825f5ffffffffff,1.0,1.0,0.0
825f6ffffffffff,4.0,4.0,0.0
825f77fffffffff,2.0,2.0,0.0
826607fffffffff,35.0,35.0,0.0
82660ffffffffff,124.0,124.0,0.0
826617fffffffff,6.0,6.0,0.0
82661ffffffffff,1036.0,1036.0,0.0
826627fffffffff,417.0,417.0,0.0
82662ffffffffff,53.0,53.0,0.0
826637fffffffff,78.0,78.0,0.0
826647fffffffff,42.0,42.0,0.0
82664ffffffffff,9.0,9.0,0.0
826657fffffffff,269.0,269.0,0.0
82665ffffffffff,1.0,1.0,0.0
826667fffffffff,47.0,47.0,0.0
826677fffffffff,138.0,138.0,0.0
8266a7fffffffff,773.0,773.0,0.0
8266b7fffffffff,76.0,76.0,0.0
8266c7fffffffff,649.0,341.0,11.0
8266cffffffffff,41.0,0.0,7.0
8266d7fffffffff,29.0,29.0,0.0
8266dffffffffff,71.0,0.0,0.0
8266e7fffffffff,1825.0,1825.0,0.0
8266effffffffff,123.0,123.0,0.0
8266f7fffffffff,1686.0,1686.0,0.0
826747fffffffff,186.0,186.0,0.0
82674ffffffffff,934.0,934.0,0.0
826757fffffffff,195.0,195.0,0.0
82675ffffffffff,251.0,251.0,0.0
82676ffffffffff,3.0,3.0,0.0
828007fffffffff,18.0,0.0,18.0
82800ffffffffff,7.0,0.0,7.0
828017fffffffff,129.0,0.0,129.0
828027fffffffff,14.0,0.0,14.0
82802ffffffffff,2.0,0.0,2.0
828037fffffffff,208.0,0.0,208.0
828047fffffffff,175.0,0.0,175.0
828057fffffffff,22.0,0.0,22.0
828067fffffffff,15.0,0.0,15.0
82806ffffffffff,2.0,0.0,2.0
828077fffffffff,13.0,0.0,13.0
