cell_id,Myophonus caeruleus,Myophonus caeruleus caeruleus,Myophonus caeruleus [flavirostris Group]
842013dffffffff,1.0,0.0,1.0
84201b5ffffffff,1.0,0.0,0.0
8420999ffffffff,2.0,0.0,0.0
842099bffffffff,4.0,0.0,0.0
8420a25ffffffff,3.0,0.0,0.0
8420e61ffffffff,4.0,0.0,0.0
8420e65ffffffff,1.0,0.0,1.0
8430995ffffffff,2.0,0.0,0.0
8431851ffffffff,2.0,2.0,0.0
84318d1ffffffff,3.0,0.0,0.0
843c063ffffffff,1.0,0.0,0.0
843c065ffffffff,4.0,0.0,4.0
843c0a5ffffffff,17.0,0.0,0.0
843c0b5ffffffff,4.0,0.0,4.0
843c199ffffffff,3.0,0.0,0.0
843c19bffffffff,2.0,0.0,0.0
843c1d1ffffffff,3.0,0.0,2.0
843c1d3ffffffff,8.0,0.0,0.0
843c329ffffffff,2.0,0.0,2.0
843c33bffffffff,6.0,0.0,6.0
843c369ffffffff,9.0,0.0,3.0
843c36bffffffff,3.0,0.0,0.0
843c423ffffffff,2.0,0.0,2.0
843c437ffffffff,6.0,0.0,6.0
843c537ffffffff,1.0,0.0,0.0
843c567ffffffff,12.0,0.0,12.0
843c581ffffffff,20.0,0.0,18.0
843c5cbffffffff,2.0,0.0,2.0
843cc0dffffffff,3.0,0.0,0.0
843cc41ffffffff,2.0,0.0,0.0
843cc47ffffffff,1.0,0.0,0.0
843ce15ffffffff,1.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0
843ce5bffffffff,3.0,0.0,3.0
843d041ffffffff,2.0,0.0,0.0
843d103ffffffff,1.0,0.0,1.0
843d135ffffffff,2.0,0.0,0.0
843d137ffffffff,6.0,0.0,3.0
843d13dffffffff,4.0,0.0,0.0
843d141ffffffff,5.0,0.0,0.0
843d147ffffffff,2.0,0.0,0.0
843d149ffffffff,4.0,0.0,2.0
843d16bffffffff,2.0,0.0,0.0
843d1e5ffffffff,2.0,0.0,2.0
843d22dffffffff,3.0,0.0,0.0
843d31dffffffff,7.0,0.0,0.0
843d34bffffffff,5.0,0.0,5.0
843d34dffffffff,2.0,0.0,0.0
843d35dffffffff,12.0,0.0,0.0
843da97ffffffff,2.0,0.0,0.0
843dad1ffffffff,31.0,0.0,31.0
843dad9ffffffff,3.0,0.0,3.0
843daddffffffff,8.0,0.0,8.0
8440b51ffffffff,2.0,2.0,0.0
8440b53ffffffff,2.0,2.0,0.0
8440e89ffffffff,2.0,0.0,2.0
8440ec5ffffffff,2.0,0.0,2.0
84411adffffffff,2.0,2.0,0.0
84415c3ffffffff,5.0,5.0,0.0
84416b1ffffffff,2.0,2.0,0.0
8441921ffffffff,6.0,0.0,0.0
8441a43ffffffff,5.0,0.0,0.0
8441a55ffffffff,1.0,0.0,0.0
8441b55ffffffff,2.0,0.0,0.0
8441b5dffffffff,2.0,0.0,0.0
8442493ffffffff,3.0,0.0,0.0
844b26dffffffff,4.0,0.0,0.0
844ba63ffffffff,1.0,0.0,0.0
8464903ffffffff,1.0,0.0,1.0
8464911ffffffff,3.0,0.0,1.0
8464a4bffffffff,2.0,2.0,0.0
846500bffffffff,6.0,0.0,0.0
8465037ffffffff,2.0,0.0,0.0
8465039ffffffff,3.0,0.0,0.0
8465055ffffffff,11.0,0.0,0.0
846518bffffffff,4.0,0.0,0.0
846519dffffffff,5.0,0.0,0.0
846520dffffffff,2.0,2.0,0.0
8469345ffffffff,1.0,0.0,1.0
