cell_id,Cacicus uropygialis,Cacicus uropygialis microrhynchus,Cacicus uropygialis pacificus,Cacicus uropygialis uropygialis
834530fffffffff,18.0,0.0,0.0,0.0
834532fffffffff,46.0,0.0,0.0,0.0
834536fffffffff,55.0,0.0,0.0,0.0
836608fffffffff,250.0,0.0,0.0,17.0
836609fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,7.0,0.0,0.0,0.0
83660bfffffffff,10.0,0.0,0.0,0.0
83660cfffffffff,6.0,0.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0,0.0
836610fffffffff,29.0,0.0,4.0,0.0
836612fffffffff,2.0,0.0,0.0,0.0
836613fffffffff,149.0,0.0,69.0,0.0
836616fffffffff,250.0,0.0,5.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,54.0,0.0,0.0,0.0
83661afffffffff,281.0,0.0,47.0,0.0
83661bfffffffff,270.0,0.0,0.0,21.0
83661dfffffffff,16.0,0.0,0.0,0.0
83661efffffffff,23.0,0.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0,0.0
8366a0fffffffff,205.0,4.0,0.0,0.0
8366a5fffffffff,7921.0,793.0,0.0,0.0
8366a6fffffffff,27.0,0.0,0.0,0.0
8366a9fffffffff,2.0,0.0,0.0,0.0
8366b0fffffffff,1566.0,0.0,0.0,0.0
8366b1fffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,1360.0,0.0,0.0,0.0
8366b5fffffffff,723.0,6.0,0.0,0.0
8366b6fffffffff,8.0,0.0,0.0,0.0
8366c0fffffffff,251.0,0.0,0.0,0.0
8366c2fffffffff,163.0,0.0,0.0,22.0
8366c4fffffffff,120.0,0.0,0.0,0.0
8366c6fffffffff,326.0,0.0,0.0,0.0
8366d0fffffffff,1669.0,0.0,53.0,0.0
8366d1fffffffff,15.0,0.0,0.0,8.0
8366d2fffffffff,60.0,0.0,16.0,0.0
8366d3fffffffff,2283.0,0.0,378.0,0.0
8366d5fffffffff,38.0,0.0,7.0,0.0
8366dafffffffff,24.0,0.0,0.0,15.0
8366defffffffff,2993.0,0.0,0.0,1295.0
8366e0fffffffff,10.0,0.0,0.0,0.0
8366e2fffffffff,35.0,0.0,0.0,0.0
8366e3fffffffff,14.0,0.0,0.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0
8366e5fffffffff,35.0,0.0,0.0,0.0
8366e6fffffffff,19.0,0.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0,0.0
8366f0fffffffff,1452.0,0.0,163.0,0.0
8366f1fffffffff,131.0,0.0,2.0,0.0
8366f3fffffffff,57.0,0.0,2.0,0.0
8366f5fffffffff,151.0,0.0,0.0,0.0
83675afffffffff,9.0,0.0,0.0,5.0
836792fffffffff,3.0,0.0,0.0,0.0
836793fffffffff,8.0,0.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0,0.0
836796fffffffff,5.0,0.0,0.0,0.0
83679afffffffff,2866.0,0.0,0.0,0.0
83679bfffffffff,825.0,0.0,0.0,0.0
836d68fffffffff,49.0,0.0,0.0,0.0
836d69fffffffff,2391.0,0.0,0.0,0.0
836d6dfffffffff,734.0,0.0,0.0,0.0
838e64fffffffff,7.0,0.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0,0.0
838f0dfffffffff,76.0,0.0,15.0,0.0
838f28fffffffff,8.0,0.0,0.0,0.0
838f29fffffffff,50.0,0.0,8.0,0.0
838f2bfffffffff,21.0,0.0,4.0,0.0
838f2cfffffffff,192.0,0.0,24.0,0.0
838f2dfffffffff,2.0,0.0,0.0,0.0
838f42fffffffff,29.0,0.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0,2.0
838f46fffffffff,346.0,0.0,0.0,104.0
838f4afffffffff,24.0,0.0,0.0,0.0
838f54fffffffff,76.0,0.0,0.0,0.0
838f55fffffffff,6.0,0.0,0.0,3.0
838f5dfffffffff,19.0,0.0,0.0,0.0
838f70fffffffff,63.0,0.0,0.0,19.0
838f72fffffffff,145.0,0.0,0.0,79.0
838f73fffffffff,21.0,0.0,0.0,4.0
838f74fffffffff,5.0,0.0,0.0,0.0
838f76fffffffff,77.0,0.0,0.0,6.0
