cell_id,Podiceps occipitalis,Podiceps occipitalis juninensis,Podiceps occipitalis occipitalis
8266c7fffffffff,1.0,0.0,0.0
8266d7fffffffff,12.0,0.0,0.0
8266dffffffffff,2.0,0.0,0.0
828b67fffffffff,2.0,0.0,0.0
828e67fffffffff,32.0,6.0,0.0
828f2ffffffffff,11.0,1.0,0.0
828f5ffffffffff,4.0,0.0,0.0
82a817fffffffff,30.0,0.0,7.0
82a81ffffffffff,18.0,0.0,1.0
82a8a7fffffffff,3.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82b207fffffffff,45.0,3.0,0.0
82b20ffffffffff,4.0,0.0,2.0
82b21ffffffffff,99.0,0.0,15.0
82b227fffffffff,1.0,0.0,1.0
82b22ffffffffff,1.0,0.0,1.0
82b247fffffffff,2.0,0.0,0.0
82b24ffffffffff,11.0,0.0,0.0
82b25ffffffffff,2.0,0.0,0.0
82b267fffffffff,2.0,0.0,0.0
82b277fffffffff,4.0,0.0,0.0
82b2c7fffffffff,264.0,0.0,46.0
82b2cffffffffff,10.0,0.0,0.0
82b2dffffffffff,28.0,0.0,0.0
82b2e7fffffffff,14.0,11.0,0.0
82b2effffffffff,12.0,2.0,0.0
82b307fffffffff,14.0,7.0,0.0
82b357fffffffff,398.0,140.0,7.0
82b35ffffffffff,26.0,0.0,0.0
82b36ffffffffff,8.0,0.0,0.0
82c21ffffffffff,1.0,0.0,0.0
82c2cffffffffff,1.0,0.0,0.0
82c2e7fffffffff,5.0,0.0,0.0
82c2effffffffff,3.0,0.0,0.0
82c2f7fffffffff,11.0,0.0,0.0
82c327fffffffff,3.0,0.0,3.0
82c32ffffffffff,7.0,0.0,7.0
82c347fffffffff,17.0,0.0,0.0
82c34ffffffffff,22.0,0.0,0.0
82c357fffffffff,1.0,0.0,0.0
82ce8ffffffffff,14.0,0.0,0.0
82ce9ffffffffff,4.0,0.0,0.0
82cea7fffffffff,4.0,0.0,2.0
82ceaffffffffff,8.0,0.0,0.0
82cf17fffffffff,2.0,0.0,0.0
82cf8ffffffffff,18.0,0.0,5.0
82cfa7fffffffff,98.0,0.0,15.0
82cfaffffffffff,11.0,0.0,0.0
82cfb7fffffffff,8.0,0.0,0.0
82de77fffffffff,1.0,0.0,0.0
82df6ffffffffff,56.0,0.0,44.0
