cell_id,Oriolus traillii,Oriolus traillii traillii/robinsoni,Oriolus traillii ardens/nigellicauda
843c027ffffffff,2.0,0.0,0.0
843c029ffffffff,147.0,0.0,0.0
843c02bffffffff,1.0,0.0,0.0
843c02dffffffff,199.0,0.0,0.0
843c031ffffffff,4.0,0.0,0.0
843c063ffffffff,5.0,0.0,0.0
843c065ffffffff,3.0,0.0,0.0
843c067ffffffff,100.0,0.0,0.0
843c0a3ffffffff,8.0,0.0,0.0
843c0a5ffffffff,217.0,0.0,0.0
843c0a7ffffffff,1.0,0.0,0.0
843c0a9ffffffff,4.0,0.0,0.0
843c0adffffffff,43.0,0.0,0.0
843c0b5ffffffff,74.0,0.0,0.0
843c0b7ffffffff,23.0,0.0,0.0
843c0bdffffffff,23.0,0.0,0.0
843c159ffffffff,2.0,0.0,0.0
843c15bffffffff,3.0,0.0,0.0
843c199ffffffff,411.0,0.0,0.0
843c19bffffffff,10.0,0.0,0.0
843c1c3ffffffff,8.0,0.0,0.0
843c1d1ffffffff,12.0,0.0,0.0
843c1d3ffffffff,71.0,0.0,0.0
843c1d7ffffffff,2.0,0.0,0.0
843c1dbffffffff,8.0,0.0,0.0
843c307ffffffff,3.0,0.0,0.0
843c315ffffffff,17.0,0.0,0.0
843c317ffffffff,1.0,0.0,0.0
843c33bffffffff,37.0,0.0,0.0
843c341ffffffff,4.0,0.0,0.0
843c36bffffffff,3.0,0.0,0.0
843c437ffffffff,6.0,0.0,0.0
843c521ffffffff,54.0,0.0,0.0
843c525ffffffff,34.0,0.0,0.0
843c527ffffffff,697.0,0.0,0.0
843c52dffffffff,1.0,0.0,0.0
843c533ffffffff,18.0,0.0,0.0
843c537ffffffff,13.0,0.0,0.0
843c565ffffffff,1.0,0.0,0.0
843c581ffffffff,285.0,0.0,0.0
843c583ffffffff,7.0,0.0,0.0
843c585ffffffff,7.0,0.0,0.0
843c587ffffffff,16.0,0.0,0.0
843c589ffffffff,4.0,0.0,0.0
843c595ffffffff,6.0,0.0,0.0
843c5a1ffffffff,340.0,0.0,0.0
843c5a3ffffffff,1.0,0.0,0.0
843c5a9ffffffff,19.0,0.0,0.0
843c5abffffffff,4.0,0.0,0.0
843c5adffffffff,62.0,0.0,0.0
843c5b1ffffffff,1.0,0.0,0.0
843c5b3ffffffff,1.0,0.0,0.0
843c5b7ffffffff,1.0,0.0,0.0
843c5b9ffffffff,4.0,0.0,0.0
843c5bdffffffff,168.0,0.0,0.0
843c5c5ffffffff,5.0,0.0,0.0
843c5c7ffffffff,2.0,0.0,0.0
843c5cbffffffff,6.0,0.0,0.0
843c5e3ffffffff,4.0,0.0,0.0
843c5ebffffffff,15.0,0.0,0.0
843cc01ffffffff,4.0,0.0,0.0
843cc03ffffffff,21.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0
843cc0bffffffff,15.0,0.0,0.0
843cc0dffffffff,3.0,0.0,0.0
843cc11ffffffff,23.0,0.0,0.0
843cc15ffffffff,1.0,0.0,0.0
843cc31ffffffff,1.0,0.0,0.0
843cc39ffffffff,2.0,0.0,0.0
843cc43ffffffff,3.0,0.0,0.0
843cc55ffffffff,17.0,0.0,0.0
843cc5bffffffff,4.0,0.0,0.0
843cc5dffffffff,4.0,0.0,0.0
843ccc9ffffffff,4.0,0.0,0.0
843cd8bffffffff,37.0,0.0,0.0
843cd93ffffffff,2.0,0.0,0.0
843cd9dffffffff,2.0,0.0,0.0
843cdcdffffffff,2.0,0.0,0.0
843cdd5ffffffff,4.0,0.0,0.0
843cdd7ffffffff,4.0,0.0,0.0
843cddbffffffff,2.0,0.0,0.0
843ce13ffffffff,2.0,0.0,0.0
843ce15ffffffff,44.0,0.0,0.0
843ce1bffffffff,2.0,0.0,0.0
843ce29ffffffff,5.0,0.0,0.0
843ce2bffffffff,17.0,0.0,0.0
843ce31ffffffff,4.0,0.0,0.0
843ce33ffffffff,3.0,0.0,0.0
843ce3bffffffff,38.0,0.0,0.0
843ce3dffffffff,1.0,0.0,0.0
843ce41ffffffff,28.0,0.0,0.0
843ce43ffffffff,23.0,0.0,0.0
