cell_id,Myiarchus tyrannulus,Myiarchus tyrannulus magister,Myiarchus tyrannulus [cooperi Group],Myiarchus tyrannulus brachyurus,Myiarchus tyrannulus tyrannulus/bahiae
832982fffffffff,30.0,0.0,0.0,0.0,0.0
832984fffffffff,74.0,0.0,0.0,0.0,0.0
832985fffffffff,9.0,0.0,0.0,0.0,0.0
832986fffffffff,112.0,0.0,0.0,0.0,0.0
832990fffffffff,3.0,0.0,0.0,0.0,0.0
832994fffffffff,2.0,0.0,0.0,0.0,0.0
832995fffffffff,275.0,0.0,0.0,0.0,0.0
8329a0fffffffff,878.0,0.0,0.0,0.0,0.0
8329a3fffffffff,3.0,0.0,0.0,0.0,0.0
8329aafffffffff,1.0,0.0,0.0,0.0,0.0
8329b0fffffffff,355.0,12.0,0.0,0.0,0.0
8329b1fffffffff,73.0,0.0,0.0,0.0,0.0
8329b2fffffffff,899.0,30.0,0.0,0.0,0.0
8329b4fffffffff,4.0,0.0,0.0,0.0,0.0
8329b5fffffffff,115.0,0.0,0.0,0.0,0.0
8329b6fffffffff,772.0,95.0,0.0,0.0,0.0
834424fffffffff,113.0,0.0,0.0,0.0,0.0
834501fffffffff,57.0,0.0,3.0,0.0,0.0
834505fffffffff,247.0,0.0,22.0,0.0,0.0
834508fffffffff,258.0,0.0,63.0,0.0,0.0
834509fffffffff,1418.0,0.0,528.0,0.0,0.0
83450afffffffff,771.0,0.0,75.0,0.0,0.0
83450bfffffffff,413.0,0.0,68.0,0.0,0.0
83450cfffffffff,113.0,0.0,7.0,0.0,0.0
83450dfffffffff,543.0,0.0,233.0,0.0,0.0
83450efffffffff,260.0,0.0,13.0,0.0,0.0
834519fffffffff,13.0,0.0,4.0,0.0,0.0
83451dfffffffff,2.0,0.0,0.0,0.0,0.0
834520fffffffff,297.0,0.0,0.0,0.0,0.0
834521fffffffff,885.0,0.0,12.0,0.0,0.0
834522fffffffff,365.0,0.0,0.0,0.0,0.0
834523fffffffff,491.0,0.0,18.0,0.0,0.0
834524fffffffff,311.0,0.0,0.0,0.0,0.0
834525fffffffff,285.0,0.0,0.0,0.0,0.0
834526fffffffff,524.0,0.0,0.0,0.0,0.0
834528fffffffff,839.0,0.0,16.0,0.0,0.0
834529fffffffff,48.0,0.0,0.0,0.0,0.0
83452afffffffff,1601.0,0.0,224.0,0.0,0.0
83452bfffffffff,181.0,0.0,8.0,0.0,0.0
83452cfffffffff,1270.0,0.0,108.0,0.0,0.0
83452dfffffffff,128.0,0.0,4.0,0.0,0.0
83452efffffffff,5463.0,0.0,250.0,0.0,0.0
834530fffffffff,41.0,0.0,0.0,0.0,0.0
834531fffffffff,820.0,0.0,0.0,0.0,0.0
834532fffffffff,60.0,0.0,0.0,0.0,0.0
834533fffffffff,201.0,0.0,0.0,0.0,0.0
834534fffffffff,63.0,0.0,0.0,0.0,0.0
