cell_id,Cecropis melanocrissus,Cecropis melanocrissus domicella,Cecropis melanocrissus [melanocrissus Group]
8454139ffffffff,1.0,1.0,0.0
84541a5ffffffff,1.0,1.0,0.0
8454adbffffffff,2.0,2.0,0.0
8459985ffffffff,2.0,2.0,0.0
84599e7ffffffff,2.0,2.0,0.0
846a459ffffffff,2.0,2.0,0.0
846a581ffffffff,5.0,0.0,5.0
846ada9ffffffff,1.0,0.0,0.0
847a40bffffffff,2.0,0.0,1.0
847a413ffffffff,1.0,0.0,1.0
847a681ffffffff,4.0,0.0,0.0
847a6adffffffff,10.0,0.0,0.0
847a6e7ffffffff,1.0,0.0,1.0
8482d3dffffffff,2.0,0.0,2.0
84971cbffffffff,1.0,0.0,1.0
