cell_id,Lepidothrix coronata,Lepidothrix coronata [coronata Group],Lepidothrix coronata [exquisita Group]
825f6ffffffffff,5.0,0.0,0.0
825f77fffffffff,55.0,0.0,0.0
826647fffffffff,11.0,0.0,0.0
82664ffffffffff,14.0,0.0,0.0
82665ffffffffff,603.0,1.0,0.0
82666ffffffffff,10.0,0.0,0.0
8266c7fffffffff,405.0,0.0,0.0
8266cffffffffff,112.0,0.0,0.0
8266d7fffffffff,279.0,0.0,0.0
8266dffffffffff,972.0,78.0,0.0
8266e7fffffffff,51.0,0.0,0.0
8266effffffffff,231.0,0.0,0.0
828a07fffffffff,82.0,0.0,0.0
828a17fffffffff,2.0,0.0,0.0
828a1ffffffffff,30.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0
828a2ffffffffff,3.0,0.0,0.0
828a47fffffffff,216.0,0.0,0.0
828a4ffffffffff,5.0,0.0,0.0
828a57fffffffff,3.0,0.0,0.0
828a6ffffffffff,389.0,0.0,0.0
828a77fffffffff,22.0,0.0,0.0
828adffffffffff,17.0,0.0,0.0
828ae7fffffffff,7.0,0.0,0.0
828af7fffffffff,130.0,0.0,0.0
828b2ffffffffff,15.0,0.0,0.0
828b47fffffffff,275.0,0.0,24.0
828b57fffffffff,2.0,0.0,0.0
828b67fffffffff,126.0,0.0,8.0
828b6ffffffffff,108.0,0.0,8.0
828b77fffffffff,78.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f47fffffffff,113.0,0.0,0.0
828f4ffffffffff,36.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0
828f67fffffffff,156.0,0.0,0.0
828f6ffffffffff,38.0,0.0,0.0
828f77fffffffff,53.0,0.0,0.0
