cell_id,Pteroglossus inscriptus,Pteroglossus inscriptus humboldti,Pteroglossus inscriptus inscriptus
826647fffffffff,200.0,32.0,0.0
826657fffffffff,22.0,0.0,0.0
82665ffffffffff,275.0,13.0,0.0
826677fffffffff,1.0,0.0,0.0
8266c7fffffffff,1042.0,9.0,0.0
8266cffffffffff,52.0,0.0,0.0
8266d7fffffffff,7.0,0.0,0.0
8266dffffffffff,803.0,60.0,0.0
8266e7fffffffff,2037.0,0.0,0.0
8266effffffffff,278.0,0.0,0.0
828007fffffffff,7.0,0.0,0.0
82800ffffffffff,6.0,0.0,0.0
82802ffffffffff,4.0,0.0,0.0
828047fffffffff,113.0,0.0,0.0
828057fffffffff,4.0,0.0,0.0
828067fffffffff,28.0,0.0,0.0
828077fffffffff,1.0,0.0,0.0
828147fffffffff,39.0,0.0,2.0
82814ffffffffff,205.0,0.0,0.0
82815ffffffffff,54.0,0.0,3.0
828167fffffffff,51.0,0.0,4.0
828177fffffffff,34.0,0.0,11.0
828187fffffffff,149.0,0.0,0.0
828a07fffffffff,22.0,0.0,0.0
828a17fffffffff,3.0,0.0,0.0
828a1ffffffffff,4.0,0.0,0.0
828a27fffffffff,5.0,0.0,0.0
828a47fffffffff,86.0,1.0,2.0
828a4ffffffffff,3.0,0.0,0.0
828a57fffffffff,17.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,270.0,0.0,0.0
828a87fffffffff,22.0,0.0,0.0
828a97fffffffff,3.0,0.0,0.0
828a9ffffffffff,18.0,0.0,0.0
828aaffffffffff,9.0,0.0,0.0
828ae7fffffffff,4.0,0.0,0.0
828af7fffffffff,15.0,0.0,0.0
828b0ffffffffff,13.0,0.0,0.0
828b17fffffffff,14.0,0.0,0.0
828b1ffffffffff,5.0,0.0,0.0
828b27fffffffff,22.0,0.0,0.0
828b2ffffffffff,4.0,0.0,0.0
828b47fffffffff,175.0,0.0,0.0
828b4ffffffffff,4.0,0.0,0.0
828b57fffffffff,23.0,0.0,0.0
828b5ffffffffff,16.0,0.0,0.0
828b67fffffffff,49.0,3.0,0.0
828b6ffffffffff,26.0,0.0,0.0
828b77fffffffff,15.0,0.0,0.0
828b87fffffffff,57.0,0.0,0.0
828b8ffffffffff,25.0,0.0,0.0
828b9ffffffffff,406.0,0.0,0.0
828ba7fffffffff,84.0,0.0,0.0
828bb7fffffffff,388.0,0.0,0.0
828f47fffffffff,327.0,0.0,0.0
828f4ffffffffff,20.0,0.0,0.0
828f5ffffffffff,5.0,0.0,0.0
828f67fffffffff,129.0,0.0,0.0
828f6ffffffffff,85.0,0.0,0.0
828f77fffffffff,34.0,0.0,0.0
82a85ffffffffff,4.0,0.0,0.0
82a8cffffffffff,8.0,0.0,0.0
