cell_id,Illadopsis cleaveri,Illadopsis cleaveri cleaveri/johnsoni,Illadopsis cleaveri batesi/marchanti,Illadopsis cleaveri poensis
8258d7fffffffff,14.0,0.0,0.0,0.0
8258dffffffffff,8.0,0.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0,0.0
82750ffffffffff,148.0,18.0,0.0,0.0
82751ffffffffff,1.0,0.0,0.0,0.0
82752ffffffffff,47.0,2.0,0.0,0.0
827587fffffffff,1.0,0.0,0.0,0.0
8275a7fffffffff,3.0,0.0,0.0,0.0
8275affffffffff,5.0,0.0,0.0,0.0
8275b7fffffffff,5.0,0.0,0.0,0.0
82821ffffffffff,1.0,0.0,0.0,0.0
828287fffffffff,8.0,0.0,2.0,0.0
82828ffffffffff,147.0,0.0,0.0,0.0
828297fffffffff,8.0,0.0,0.0,0.0
8282a7fffffffff,1.0,0.0,0.0,0.0
8282affffffffff,20.0,0.0,0.0,0.0
8282b7fffffffff,2.0,0.0,0.0,0.0
8282d7fffffffff,28.0,0.0,0.0,7.0
8282f7fffffffff,1.0,0.0,0.0,0.0
