cell_id,Quiscalus quiscula,Quiscalus quiscula stonei,Quiscalus quiscula quiscula,Quiscalus quiscula versicolor,Quiscalus quiscula quiscula/stonei
840e491ffffffff,112.0,0.0,0.0,1.0,0.0
840e493ffffffff,118.0,0.0,0.0,2.0,0.0
840e497ffffffff,291.0,0.0,0.0,0.0,0.0
840e499ffffffff,24.0,0.0,0.0,0.0,0.0
840e49bffffffff,115.0,0.0,0.0,0.0,0.0
840e4b3ffffffff,55.0,0.0,0.0,0.0,0.0
840e4bbffffffff,4.0,0.0,0.0,0.0,0.0
840e4d1ffffffff,38.0,0.0,0.0,0.0,0.0
840e4d3ffffffff,88.0,0.0,0.0,0.0,0.0
840e4dbffffffff,894.0,0.0,0.0,0.0,0.0
840e5b3ffffffff,35.0,0.0,0.0,0.0,0.0
840e5b7ffffffff,4.0,0.0,0.0,0.0,0.0
840e9a1ffffffff,3.0,0.0,0.0,0.0,0.0
840e9a7ffffffff,10.0,0.0,0.0,0.0,0.0
840ec0bffffffff,3.0,0.0,0.0,0.0,0.0
840ec15ffffffff,2.0,0.0,0.0,0.0,0.0
840ec19ffffffff,64.0,0.0,0.0,2.0,0.0
840ec21ffffffff,3.0,0.0,0.0,0.0,0.0
840ec23ffffffff,3.0,0.0,0.0,0.0,0.0
840ec29ffffffff,4.0,0.0,0.0,0.0,0.0
840ec2dffffffff,4.0,0.0,0.0,0.0,0.0
840ec81ffffffff,2.0,0.0,0.0,0.0,0.0
840ec85ffffffff,2.0,0.0,0.0,0.0,0.0
840ec8dffffffff,2.0,0.0,0.0,0.0,0.0
840ec91ffffffff,18.0,0.0,0.0,0.0,0.0
840ec95ffffffff,102.0,0.0,0.0,6.0,0.0
840ec97ffffffff,34.0,0.0,0.0,8.0,0.0
840ec9bffffffff,16.0,0.0,0.0,0.0,0.0
840ec9dffffffff,22.0,0.0,0.0,2.0,0.0
840eca1ffffffff,1.0,0.0,0.0,0.0,0.0
840eca3ffffffff,5.0,0.0,0.0,0.0,0.0
840eca5ffffffff,10.0,0.0,0.0,0.0,0.0
840eca7ffffffff,37.0,0.0,0.0,0.0,0.0
840ecabffffffff,6.0,0.0,0.0,0.0,0.0
840ecb9ffffffff,54.0,0.0,0.0,0.0,0.0
840ecbbffffffff,2.0,0.0,0.0,0.0,0.0
840ecbdffffffff,52.0,0.0,0.0,4.0,0.0
840ecc1ffffffff,205.0,0.0,0.0,14.0,0.0
840ecc7ffffffff,2.0,0.0,0.0,0.0,0.0
