cell_id,Macropygia doreya,Macropygia doreya [albicapilla Group],Macropygia doreya [doreya Group]
8368c2fffffffff,4.0,0.0,0.0
8368c3fffffffff,14.0,2.0,0.0
8368c8fffffffff,250.0,80.0,0.0
8368cafffffffff,45.0,16.0,0.0
8368cdfffffffff,5.0,5.0,0.0
8368cefffffffff,93.0,22.0,0.0
8368d1fffffffff,5.0,2.0,0.0
8368d2fffffffff,267.0,66.0,0.0
8368d3fffffffff,6.0,4.0,0.0
8368d8fffffffff,50.0,42.0,0.0
8368dcfffffffff,8.0,8.0,0.0
8368ddfffffffff,37.0,8.0,0.0
837289fffffffff,4.0,0.0,0.0
83728bfffffffff,10.0,0.0,0.0
8372a2fffffffff,61.0,0.0,11.0
8372b0fffffffff,1.0,0.0,0.0
8372b4fffffffff,2.0,0.0,2.0
8372f2fffffffff,25.0,0.0,0.0
8372f3fffffffff,2.0,0.0,0.0
837390fffffffff,272.0,0.0,43.0
837392fffffffff,11.0,0.0,0.0
837395fffffffff,13.0,0.0,4.0
837396fffffffff,5.0,0.0,0.0
837398fffffffff,2.0,0.0,0.0
83739afffffffff,146.0,0.0,16.0
83739bfffffffff,97.0,0.0,7.0
8373b0fffffffff,7.0,2.0,0.0
8373b5fffffffff,1.0,1.0,0.0
8373b6fffffffff,6.0,2.0,0.0
839500fffffffff,51.0,40.0,0.0
83950dfffffffff,1.0,0.0,0.0
839528fffffffff,1.0,1.0,0.0
83952bfffffffff,2.0,2.0,0.0
83952dfffffffff,2.0,0.0,0.0
839560fffffffff,5.0,0.0,0.0
839561fffffffff,107.0,0.0,2.0
839566fffffffff,15.0,1.0,0.0
83956cfffffffff,16.0,0.0,1.0
83956dfffffffff,18.0,0.0,0.0
839572fffffffff,8.0,8.0,0.0
