cell_id,Notharchus tectus,Notharchus tectus subtectus,Notharchus tectus tectus/picatus
845f03dffffffff,7.0,0.0,0.0
8466107ffffffff,6.0,6.0,0.0
8466113ffffffff,2.0,0.0,0.0
8466139ffffffff,1.0,0.0,0.0
8466163ffffffff,1.0,1.0,0.0
84661c7ffffffff,2.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0
8466257ffffffff,3.0,0.0,0.0
8466415ffffffff,2.0,0.0,0.0
8466a01ffffffff,36.0,0.0,0.0
8466a09ffffffff,1.0,0.0,0.0
8466a0bffffffff,4.0,0.0,0.0
8466a51ffffffff,2.0,2.0,0.0
8466a57ffffffff,1.0,0.0,0.0
8466dc3ffffffff,4.0,0.0,0.0
8466e59ffffffff,3.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0
8466ecbffffffff,6.0,0.0,0.0
84679a5ffffffff,1.0,0.0,0.0
846d681ffffffff,3.0,0.0,0.0
846d689ffffffff,5.0,0.0,0.0
846d68bffffffff,4.0,0.0,0.0
846d69dffffffff,11.0,0.0,0.0
848b0bdffffffff,1.0,0.0,0.0
848f2c3ffffffff,1.0,1.0,0.0
848f455ffffffff,5.0,0.0,0.0
848f73dffffffff,2.0,0.0,2.0
