cell_id,Clibanornis rubiginosus,Clibanornis rubiginosus [rubiginosus Group],Clibanornis rubiginosus [nigricauda Group],Clibanornis rubiginosus cinnamomeigula,Clibanornis rubiginosus [obscurus Group],Clibanornis rubiginosus watkinsi
834520fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
834524fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,6.0,6.0,0.0,0.0,0.0,0.0
834996fffffffff,11.0,5.0,0.0,0.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
836613fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366d2fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8366f0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836d30fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
838b5dfffffffff,2.0,0.0,0.0,0.0,0.0,2.0
838b61fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
