cell_id,Myiarchus nuttingi,Myiarchus nuttingi nuttingi/inquietus,Myiarchus nuttingi flavidior
8229a7fffffffff,7.0,0.0,0.0
8229b7fffffffff,221.0,9.0,0.0
824527fffffffff,36.0,14.0,1.0
82480ffffffffff,6.0,0.0,0.0
824817fffffffff,4.0,0.0,0.0
82481ffffffffff,15.0,0.0,0.0
824837fffffffff,3.0,0.0,0.0
8248affffffffff,23.0,0.0,0.0
8248c7fffffffff,11.0,0.0,0.0
8248effffffffff,296.0,12.0,0.0
824987fffffffff,7.0,0.0,0.0
82498ffffffffff,19.0,0.0,0.0
824997fffffffff,24.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0
8249affffffffff,4.0,0.0,0.0
8249b7fffffffff,3.0,3.0,0.0
826d07fffffffff,4.0,2.0,2.0
826d17fffffffff,1.0,0.0,0.0
826d27fffffffff,13.0,0.0,0.0
826d2ffffffffff,43.0,7.0,0.0
826d37fffffffff,32.0,20.0,0.0
826d67fffffffff,33.0,25.0,1.0
826d6ffffffffff,18.0,0.0,0.0
