cell_id,Rissa tridactyla,Rissa tridactyla tridactyla,Rissa tridactyla pollicaris
8400011ffffffff,2.0,0.0,0.0
840001bffffffff,5.0,0.0,0.0
84000d9ffffffff,1.0,0.0,0.0
8400253ffffffff,1.0,0.0,0.0
8400281ffffffff,1.0,0.0,0.0
8400283ffffffff,2.0,0.0,0.0
8400289ffffffff,8.0,1.0,0.0
840028bffffffff,8.0,0.0,0.0
840028dffffffff,12.0,0.0,0.0
8400293ffffffff,2.0,2.0,0.0
8400295ffffffff,2.0,0.0,0.0
8400297ffffffff,4.0,1.0,0.0
8400299ffffffff,4.0,0.0,0.0
840029bffffffff,4.0,0.0,0.0
840029dffffffff,5.0,0.0,0.0
84002b3ffffffff,1.0,0.0,0.0
84002b5ffffffff,6.0,0.0,0.0
84002bbffffffff,5.0,0.0,0.0
84002c1ffffffff,2.0,2.0,0.0
84002c3ffffffff,2.0,0.0,0.0
84002c9ffffffff,13.0,0.0,0.0
84002d5ffffffff,2.0,0.0,0.0
84002d7ffffffff,21.0,2.0,0.0
84002dbffffffff,2.0,0.0,0.0
84002e3ffffffff,2.0,0.0,0.0
8400709ffffffff,3.0,0.0,0.0
8400729ffffffff,2.0,0.0,0.0
8400747ffffffff,4.0,0.0,0.0
8400755ffffffff,3.0,0.0,0.0
8400757ffffffff,1.0,0.0,0.0
8400765ffffffff,9.0,0.0,0.0
8400769ffffffff,2.0,0.0,0.0
840076bffffffff,2.0,0.0,0.0
84010d9ffffffff,6.0,0.0,0.0
8401207ffffffff,3.0,0.0,0.0
840120bffffffff,1.0,0.0,0.0
8401219ffffffff,2.0,0.0,0.0
8401227ffffffff,2.0,0.0,0.0
840122bffffffff,10.0,4.0,0.0
840122dffffffff,2.0,0.0,0.0
840123dffffffff,14.0,0.0,0.0
8401247ffffffff,2.0,0.0,0.0
8401259ffffffff,4.0,0.0,0.0
840125dffffffff,4.0,2.0,0.0
84012e7ffffffff,2.0,0.0,0.0
840130bffffffff,581.0,85.0,0.0
8401319ffffffff,178.0,18.0,0.0
840131dffffffff,58.0,7.0,0.0
8401351ffffffff,169.0,23.0,0.0
8401353ffffffff,18.0,0.0,0.0
8401355ffffffff,197.0,20.0,0.0
8401357ffffffff,8.0,0.0,0.0
8401359ffffffff,7.0,0.0,0.0
840135bffffffff,25.0,0.0,0.0
840135dffffffff,15.0,2.0,0.0
840136dffffffff,2.0,0.0,0.0
8401503ffffffff,9.0,0.0,0.0
8401507ffffffff,4.0,0.0,0.0
8401509ffffffff,33.0,1.0,0.0
8401513ffffffff,1.0,0.0,0.0
8401515ffffffff,13.0,1.0,0.0
8401517ffffffff,35.0,5.0,0.0
840151dffffffff,14.0,0.0,0.0
8401521ffffffff,6.0,0.0,0.0
8401523ffffffff,16.0,2.0,0.0
840152bffffffff,1.0,0.0,0.0
8401531ffffffff,3.0,2.0,0.0
8401533ffffffff,35.0,2.0,0.0
8401535ffffffff,2.0,0.0,0.0
8401537ffffffff,2.0,0.0,0.0
840153bffffffff,243.0,34.0,0.0
8401543ffffffff,2.0,0.0,0.0
8401547ffffffff,4.0,0.0,0.0
8401557ffffffff,1.0,0.0,0.0
8401567ffffffff,5.0,4.0,0.0
8401583ffffffff,2.0,2.0,0.0
8401585ffffffff,9.0,0.0,0.0
84015a1ffffffff,64.0,5.0,0.0
84015a3ffffffff,24.0,0.0,0.0
84015a5ffffffff,24.0,4.0,0.0
84015a7ffffffff,3.0,0.0,0.0
84015a9ffffffff,41.0,4.0,0.0
84015abffffffff,28.0,1.0,0.0
84015adffffffff,24.0,5.0,0.0
84015e1ffffffff,186.0,150.0,0.0
84015e3ffffffff,45.0,2.0,0.0
84015e7ffffffff,2.0,0.0,0.0
84015e9ffffffff,13.0,2.0,0.0
84015ebffffffff,6.0,6.0,0.0
84015edffffffff,13.0,1.0,0.0
840168bffffffff,2.0,0.0,0.0
84016ddffffffff,1.0,0.0,0.0
84016e3ffffffff,1.0,0.0,0.0
8401b31ffffffff,2.0,0.0,0.0
8402401ffffffff,3.0,0.0,0.0
8402405ffffffff,20.0,0.0,0.0
8402409ffffffff,3.0,0.0,0.0
8402411ffffffff,5.0,0.0,0.0
8402415ffffffff,1.0,0.0,0.0
8402419ffffffff,1.0,0.0,0.0
840241dffffffff,5.0,0.0,0.0
8402421ffffffff,3.0,0.0,0.0
8402423ffffffff,6.0,0.0,0.0
8402429ffffffff,1.0,0.0,0.0
8402435ffffffff,6.0,0.0,0.0
8402439ffffffff,3.0,0.0,0.0
840243dffffffff,2.0,0.0,0.0
8402443ffffffff,3.0,0.0,0.0
840244dffffffff,1.0,0.0,0.0
8402455ffffffff,2.0,0.0,0.0
8402457ffffffff,2.0,0.0,0.0
8402463ffffffff,7.0,0.0,0.0
84024c1ffffffff,27.0,0.0,0.0
84024c5ffffffff,20.0,0.0,0.0
84024c9ffffffff,16.0,0.0,0.0
84024cbffffffff,4.0,0.0,0.0
84024d1ffffffff,2.0,0.0,0.0
84024e9ffffffff,1.0,0.0,0.0
