cell_id,Poodytes punctatus,Poodytes punctatus [punctatus Group],Poodytes punctatus caudatus
84bb081ffffffff,14.0,0.0,0.0
84bb085ffffffff,4.0,0.0,0.0
84bb08bffffffff,3.0,0.0,0.0
84bb091ffffffff,15.0,0.0,0.0
84bb093ffffffff,15.0,0.0,0.0
84bb097ffffffff,5.0,0.0,0.0
84bb099ffffffff,150.0,0.0,0.0
84bb0a9ffffffff,10.0,0.0,0.0
84bb0b1ffffffff,13.0,0.0,0.0
84bb0b3ffffffff,7.0,0.0,0.0
84bb0bbffffffff,3.0,0.0,0.0
84bb0c1ffffffff,5.0,0.0,0.0
84bb0d3ffffffff,19.0,0.0,0.0
84bb0d5ffffffff,7.0,0.0,0.0
84bb0ddffffffff,12.0,0.0,0.0
84bb293ffffffff,4.0,0.0,0.0
84bb295ffffffff,82.0,0.0,0.0
84bb297ffffffff,188.0,0.0,0.0
84bb29bffffffff,2.0,0.0,0.0
84bb2b3ffffffff,20.0,0.0,0.0
84bb2bbffffffff,39.0,0.0,0.0
84bb501ffffffff,9.0,0.0,0.0
84bb503ffffffff,42.0,0.0,0.0
84bb505ffffffff,9.0,0.0,0.0
84bb507ffffffff,270.0,0.0,0.0
84bb509ffffffff,15.0,0.0,0.0
84bb50bffffffff,25.0,0.0,0.0
84bb50dffffffff,11.0,0.0,0.0
84bb515ffffffff,12.0,0.0,0.0
84bb517ffffffff,2.0,0.0,0.0
84bb51dffffffff,1.0,0.0,0.0
84bb529ffffffff,18.0,0.0,0.0
84bb52bffffffff,17.0,0.0,0.0
84bb539ffffffff,7.0,0.0,0.0
84bb53bffffffff,35.0,3.0,0.0
84bb541ffffffff,1.0,0.0,0.0
84bb545ffffffff,2.0,0.0,0.0
84bb54dffffffff,2.0,0.0,0.0
84bb561ffffffff,7.0,0.0,0.0
84bb563ffffffff,14.0,0.0,0.0
84bb567ffffffff,12.0,0.0,0.0
84bb56bffffffff,7.0,0.0,0.0
84bb56dffffffff,19.0,0.0,0.0
84bb581ffffffff,8.0,0.0,0.0
84bb5e1ffffffff,16.0,0.0,0.0
84bb5e9ffffffff,2.0,0.0,0.0
84bb5ebffffffff,2.0,0.0,0.0
84bb5edffffffff,19.0,0.0,0.0
84bb721ffffffff,2.0,0.0,0.0
84bb725ffffffff,2.0,0.0,0.0
84bb729ffffffff,23.0,0.0,0.0
84bb72bffffffff,9.0,0.0,0.0
84bb72dffffffff,2.0,0.0,0.0
84bb741ffffffff,25.0,0.0,0.0
84bb743ffffffff,3.0,0.0,0.0
84bb749ffffffff,7.0,0.0,0.0
84bb74bffffffff,23.0,0.0,0.0
84bb74dffffffff,9.0,0.0,0.0
84bb765ffffffff,7.0,0.0,0.0
84bb767ffffffff,1.0,0.0,0.0
84da813ffffffff,15.0,0.0,0.0
84da817ffffffff,50.0,0.0,0.0
84da827ffffffff,4.0,0.0,0.0
84da833ffffffff,2.0,0.0,0.0
84da835ffffffff,9.0,0.0,0.0
84da837ffffffff,2.0,0.0,0.0
84da843ffffffff,111.0,0.0,0.0
84da851ffffffff,29.0,0.0,0.0
84da853ffffffff,5.0,0.0,0.0
84da855ffffffff,72.0,0.0,0.0
84da859ffffffff,3.0,0.0,0.0
84da85bffffffff,52.0,0.0,0.0
84da85dffffffff,23.0,0.0,0.0
84da8cdffffffff,3.0,0.0,0.0
84da8e9ffffffff,4.0,0.0,0.0
84da903ffffffff,4.0,0.0,0.0
84da905ffffffff,2.0,0.0,0.0
84da907ffffffff,5.0,0.0,0.0
84da90bffffffff,9.0,0.0,0.0
84da91bffffffff,140.0,0.0,0.0
84da91dffffffff,7.0,0.0,0.0
84da921ffffffff,2.0,0.0,0.0
84da925ffffffff,36.0,0.0,0.0
84da929ffffffff,14.0,0.0,0.0
84da92bffffffff,3.0,0.0,0.0
84daa91ffffffff,51.0,0.0,10.0
84daaa1ffffffff,190.0,0.0,0.0
84daaa3ffffffff,28.0,0.0,0.0
84daaa5ffffffff,14.0,0.0,0.0
84daaa7ffffffff,21.0,0.0,0.0
84daaabffffffff,16.0,0.0,0.0
84daaadffffffff,34.0,0.0,0.0
