cell_id,Melanodera melanodera,Melanodera melanodera princetoniana,Melanodera melanodera melanodera
83cf12fffffffff,4.0,0.0,0.0
83cf16fffffffff,3.0,2.0,0.0
83cfa0fffffffff,3.0,0.0,0.0
83cfa4fffffffff,160.0,38.0,0.0
83cfa5fffffffff,41.0,4.0,0.0
83de62fffffffff,245.0,0.0,68.0
83de66fffffffff,10.0,0.0,0.0
83de70fffffffff,238.0,0.0,51.0
83de71fffffffff,26.0,0.0,14.0
83de74fffffffff,110.0,0.0,29.0
83de75fffffffff,26.0,0.0,11.0
83df41fffffffff,7.0,0.0,0.0
83df4dfffffffff,1.0,0.0,0.0
83df5bfffffffff,8.0,0.0,0.0
83df68fffffffff,9.0,0.0,0.0
83df69fffffffff,193.0,54.0,0.0
83df6afffffffff,3.0,0.0,0.0
83df6bfffffffff,6.0,0.0,0.0
