cell_id,Megascops ingens,Megascops ingens colombianus,Megascops ingens ingens/venezuelanus
84660cbffffffff,4.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0
8466181ffffffff,2.0,2.0,0.0
8466185ffffffff,2.0,2.0,0.0
8466189ffffffff,1.0,1.0,0.0
84661b1ffffffff,88.0,88.0,0.0
84661b3ffffffff,7.0,7.0,0.0
84661b9ffffffff,4.0,4.0,0.0
84661bbffffffff,4.0,3.0,0.0
84661d1ffffffff,47.0,33.0,0.0
84661d5ffffffff,7.0,0.0,0.0
846629dffffffff,2.0,0.0,0.0
8466c0dffffffff,1.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0
8466c47ffffffff,4.0,0.0,0.0
8466c61ffffffff,8.0,8.0,0.0
8466c63ffffffff,20.0,1.0,0.0
8466c6bffffffff,4.0,0.0,0.0
8466d0bffffffff,31.0,31.0,0.0
8466d31ffffffff,285.0,172.0,0.0
8466d35ffffffff,6.0,2.0,0.0
8466d37ffffffff,4.0,0.0,0.0
8466d39ffffffff,3.0,3.0,0.0
8466d3dffffffff,1.0,1.0,0.0
8466da7ffffffff,1.0,0.0,0.0
8466de1ffffffff,115.0,0.0,15.0
8466debffffffff,2.0,0.0,0.0
8466e61ffffffff,2.0,2.0,0.0
8466e65ffffffff,200.0,157.0,0.0
8466f15ffffffff,1.0,1.0,0.0
8466f1dffffffff,39.0,25.0,0.0
8466f3bffffffff,1.0,1.0,0.0
8466f51ffffffff,2.0,2.0,0.0
8466f57ffffffff,3.0,3.0,0.0
8466f59ffffffff,13.0,13.0,0.0
8466f5dffffffff,2.0,2.0,0.0
848b0c3ffffffff,1.0,0.0,0.0
848b205ffffffff,2.0,0.0,0.0
848b229ffffffff,48.0,0.0,0.0
848b247ffffffff,1.0,0.0,0.0
848b269ffffffff,1.0,0.0,0.0
848b26bffffffff,1.0,0.0,0.0
848b291ffffffff,1.0,0.0,0.0
848b2c5ffffffff,3.0,0.0,0.0
848b2c7ffffffff,1.0,0.0,0.0
848b611ffffffff,5.0,0.0,0.0
848b617ffffffff,281.0,0.0,10.0
848b61bffffffff,1.0,0.0,0.0
848b709ffffffff,17.0,0.0,0.0
848b74bffffffff,2.0,0.0,0.0
848b759ffffffff,2.0,0.0,0.0
848b75dffffffff,4.0,0.0,0.0
848e641ffffffff,7.0,0.0,0.0
848e643ffffffff,27.0,0.0,0.0
848e64bffffffff,2.0,0.0,0.0
848f421ffffffff,4.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f439ffffffff,3.0,0.0,0.0
848f463ffffffff,1.0,0.0,0.0
848f465ffffffff,1.0,0.0,0.0
848f487ffffffff,3.0,0.0,0.0
848f4e5ffffffff,3.0,0.0,0.0
848f55bffffffff,2.0,0.0,0.0
848f733ffffffff,2.0,0.0,0.0
848f745ffffffff,4.0,0.0,0.0
848f76bffffffff,30.0,0.0,0.0
84b324bffffffff,3.0,0.0,0.0
84b3253ffffffff,3.0,0.0,0.0
84b325bffffffff,7.0,0.0,0.0
