cell_id,Periparus ater,Periparus ater britannicus/hibernicus,Periparus ater [ater Group],Periparus ater ledouci/atlas,Periparus ater cypriotes,Periparus ater [phaeonotus Group],Periparus ater melanolophus,Periparus ater [aemodius Group],Periparus ater ptilosus/kuatunensis
8408065ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408107ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840810dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408113ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408123ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408127ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840812bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408149ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408151ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408159ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840815bffffffff,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84081e5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84081ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84081edffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840829bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840832dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408331ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408333ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408337ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840833bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408365ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840836dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408805ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408807ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408809ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840880bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408821ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840882bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840882dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408837ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840883dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408843ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408845ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408847ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840884dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408855ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408859ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408863ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408865ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408867ffffffff,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408869ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840888dffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84088a9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84088adffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
