cell_id,Dicrurus caerulescens,Dicrurus caerulescens caerulescens,Dicrurus caerulescens leucopygialis/insularis
823c17fffffffff,12.0,12.0,0.0
823c1ffffffffff,7.0,0.0,0.0
823c37fffffffff,5.0,0.0,0.0
823c87fffffffff,6.0,0.0,0.0
823c8ffffffffff,24.0,0.0,0.0
823c9ffffffffff,1.0,0.0,0.0
823caffffffffff,33.0,0.0,0.0
823cb7fffffffff,4.0,1.0,0.0
823d17fffffffff,14.0,0.0,0.0
823d87fffffffff,19.0,0.0,0.0
823d8ffffffffff,11.0,0.0,0.0
823d97fffffffff,10.0,2.0,0.0
823da7fffffffff,481.0,5.0,0.0
823daffffffffff,2.0,0.0,0.0
823db7fffffffff,6.0,0.0,0.0
8242c7fffffffff,29.0,0.0,0.0
8242cffffffffff,60.0,0.0,0.0
8242dffffffffff,21.0,0.0,0.0
8242effffffffff,10.0,3.0,0.0
826007fffffffff,23.0,0.0,0.0
826017fffffffff,753.0,3.0,0.0
826027fffffffff,2.0,0.0,0.0
826037fffffffff,5080.0,15.0,0.0
826087fffffffff,16.0,0.0,0.0
82608ffffffffff,6.0,0.0,0.0
826097fffffffff,5.0,5.0,0.0
82609ffffffffff,9.0,0.0,0.0
8260a7fffffffff,75.0,0.0,0.0
8260affffffffff,194.0,0.0,0.0
8260b7fffffffff,7.0,0.0,0.0
82618ffffffffff,145.0,0.0,0.0
