cell_id,Athene cunicularia,Athene cunicularia hypugaea/rostrata,Athene cunicularia floridana,Athene cunicularia [guadeloupensis Group],Athene cunicularia [tolimae Group],Athene cunicularia nanodes/juninensis,Athene cunicularia grallaria,Athene cunicularia [cunicularia Group]
8412c97ffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8426005ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842603bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84260b9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426103ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426107ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842610dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842611dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842613bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426163ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426167ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842616bffffffff,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8426199ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84262abffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842634dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426361ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842636bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426403ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426489ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84264cbffffffff,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8426531ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426535ffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84265b5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842664dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426801ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426805ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842680bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842681bffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426825ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426829ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426833ffffffff,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842685bffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426867ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426881ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426885ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426889ffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842688bffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
842688dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426897ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426899ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842689dffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84268b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84268c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84268c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84268cdffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84268d1ffffffff,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84268d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84268d5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
