cell_id,Metallura tyrianthina,Metallura tyrianthina districta,Metallura tyrianthina chloropogon,Metallura tyrianthina oreopola,Metallura tyrianthina tyrianthina/quitensis,Metallura tyrianthina septentrionalis,Metallura tyrianthina smaragdinicollis
83660bfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,25.0,0.0,0.0,0.0,4.0,0.0,0.0
8366defffffffff,40.0,0.0,0.0,0.0,37.0,0.0,0.0
8366e4fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
836741fffffffff,3.0,0.0,2.0,0.0,0.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b21fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,6.0
838b61fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0
838e62fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
838e66fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
838e6dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
838f54fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
838f59fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
838f72fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
