cell_id,Accipiter rufiventris,Accipiter rufiventris perspicillaris,Accipiter rufiventris rufiventris
845280dffffffff,2.0,0.0,0.0
8452863ffffffff,2.0,0.0,0.0
8452991ffffffff,3.0,0.0,0.0
8452997ffffffff,12.0,3.0,0.0
84529b1ffffffff,2.0,2.0,0.0
84529b5ffffffff,1.0,0.0,0.0
846a5a9ffffffff,1.0,0.0,0.0
846ac03ffffffff,2.0,0.0,0.0
846ac15ffffffff,1.0,0.0,0.0
846ac89ffffffff,1.0,0.0,1.0
846ace5ffffffff,2.0,0.0,0.0
846ada9ffffffff,2.0,0.0,0.0
846adc1ffffffff,18.0,0.0,2.0
846adc3ffffffff,8.0,0.0,0.0
846adc7ffffffff,2.0,0.0,0.0
846ade7ffffffff,2.0,0.0,0.0
846aee3ffffffff,2.0,0.0,0.0
847a453ffffffff,10.0,0.0,0.0
847a455ffffffff,10.0,0.0,0.0
847a457ffffffff,3.0,0.0,0.0
847a45bffffffff,5.0,0.0,0.0
847a48bffffffff,1.0,0.0,0.0
847a619ffffffff,2.0,0.0,0.0
847a6a3ffffffff,1.0,0.0,0.0
847a6c9ffffffff,2.0,0.0,0.0
847a6d1ffffffff,1.0,0.0,0.0
847a6dbffffffff,2.0,0.0,0.0
847a6e5ffffffff,2.0,0.0,0.0
847a6e7ffffffff,1.0,0.0,0.0
847ac15ffffffff,1.0,0.0,0.0
847ac81ffffffff,1.0,0.0,0.0
847ac87ffffffff,1.0,0.0,0.0
847acc5ffffffff,36.0,18.0,0.0
847accdffffffff,3.0,1.0,0.0
847acd5ffffffff,3.0,3.0,0.0
847ace9ffffffff,2.0,0.0,0.0
847ad93ffffffff,9.0,4.0,0.0
847ad99ffffffff,2.0,2.0,0.0
847ada9ffffffff,1.0,0.0,0.0
847ae9dffffffff,4.0,0.0,0.0
847aea7ffffffff,1.0,0.0,0.0
847aeabffffffff,1.0,0.0,0.0
847b4b1ffffffff,2.0,0.0,0.0
847b4b9ffffffff,2.0,0.0,0.0
8496921ffffffff,2.0,0.0,0.0
8496925ffffffff,12.0,0.0,0.0
849692bffffffff,1.0,0.0,0.0
8496935ffffffff,11.0,0.0,0.0
849693dffffffff,1.0,0.0,0.0
8496a4bffffffff,1.0,0.0,0.0
8496a59ffffffff,2.0,0.0,0.0
8496a5dffffffff,13.0,0.0,2.0
8497023ffffffff,2.0,0.0,0.0
849702bffffffff,12.0,0.0,0.0
8497035ffffffff,1.0,0.0,0.0
849703dffffffff,2.0,0.0,0.0
84971cbffffffff,1.0,0.0,0.0
84972d9ffffffff,16.0,0.0,0.0
84ad325ffffffff,2.0,0.0,0.0
84ad329ffffffff,5.0,0.0,3.0
84ad361ffffffff,114.0,0.0,14.0
84ad365ffffffff,14.0,0.0,2.0
84ad367ffffffff,3.0,0.0,1.0
84ad369ffffffff,51.0,0.0,22.0
84ad36bffffffff,1.0,0.0,0.0
84ad36dffffffff,30.0,0.0,6.0
84bc197ffffffff,4.0,0.0,0.0
84bc1b7ffffffff,1.0,0.0,1.0
84bc409ffffffff,1.0,0.0,0.0
84bc40dffffffff,1.0,0.0,0.0
84bc411ffffffff,1.0,0.0,1.0
84bc419ffffffff,1.0,0.0,1.0
84bc49dffffffff,1.0,0.0,0.0
84bc4bbffffffff,1.0,0.0,0.0
84bc4cbffffffff,2.0,0.0,0.0
84bc4d5ffffffff,1.0,0.0,0.0
84bc4d9ffffffff,5.0,0.0,0.0
84bc4ddffffffff,6.0,0.0,3.0
84bc50bffffffff,1.0,0.0,0.0
84bc519ffffffff,1.0,0.0,1.0
84bc52bffffffff,1.0,0.0,0.0
84bc545ffffffff,1.0,0.0,0.0
84bc549ffffffff,1.0,0.0,1.0
84bc5cbffffffff,2.0,0.0,0.0
84bc5ddffffffff,1.0,0.0,1.0
84bc687ffffffff,2.0,0.0,0.0
84bc695ffffffff,2.0,0.0,0.0
84bc697ffffffff,11.0,0.0,1.0
84bc6a3ffffffff,7.0,0.0,0.0
84bc6a7ffffffff,2.0,0.0,0.0
84bc6b3ffffffff,2.0,0.0,0.0
84bc6b9ffffffff,5.0,0.0,0.0
84bc6bdffffffff,1.0,0.0,0.0
84bc723ffffffff,1.0,0.0,0.0
84bcc49ffffffff,5.0,0.0,0.0
84bcc53ffffffff,1.0,0.0,0.0
84bcc69ffffffff,4.0,0.0,0.0
84bcc6dffffffff,4.0,0.0,2.0
84bcd07ffffffff,8.0,0.0,2.0
84bcd09ffffffff,2.0,0.0,0.0
84bcd15ffffffff,3.0,0.0,0.0
84bcd1dffffffff,2.0,0.0,0.0
84bcd37ffffffff,3.0,0.0,0.0
84bcd3dffffffff,3.0,0.0,0.0
84bcd43ffffffff,1.0,0.0,0.0
84bcd47ffffffff,1.0,0.0,0.0
84bcd4bffffffff,7.0,0.0,0.0
84bcd63ffffffff,2.0,0.0,0.0
84bcd85ffffffff,2.0,0.0,0.0
84bce05ffffffff,2.0,0.0,0.0
84bce21ffffffff,1.0,0.0,1.0
84bce29ffffffff,15.0,0.0,0.0
84bce37ffffffff,1.0,0.0,0.0
84bce61ffffffff,1.0,0.0,0.0
84bce63ffffffff,2.0,0.0,1.0
84bce67ffffffff,7.0,0.0,0.0
84bcf33ffffffff,7.0,0.0,0.0
84bcf53ffffffff,5.0,0.0,2.0
84bcf5bffffffff,24.0,0.0,10.0
84bcf63ffffffff,2.0,0.0,0.0
