cell_id,Eriocnemis luciani,Eriocnemis luciani [luciani Group],Eriocnemis luciani sapphiropygia/catharina
8466d03ffffffff,2.0,0.0,0.0
8466d11ffffffff,2.0,0.0,0.0
8466d15ffffffff,17.0,0.0,0.0
8466d17ffffffff,1.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466d31ffffffff,2070.0,259.0,0.0
8466d33ffffffff,342.0,37.0,0.0
8466d37ffffffff,27.0,10.0,0.0
8466d39ffffffff,36.0,0.0,0.0
8466d3bffffffff,25.0,0.0,0.0
8466de5ffffffff,4.0,0.0,0.0
8466dedffffffff,11.0,0.0,0.0
848b611ffffffff,11.0,0.0,0.0
848b617ffffffff,32.0,0.0,6.0
848b6c9ffffffff,15.0,0.0,0.0
848b6cdffffffff,202.0,0.0,18.0
848e651ffffffff,7.0,0.0,0.0
848e655ffffffff,4.0,0.0,0.0
848e657ffffffff,13.0,0.0,0.0
848e6c1ffffffff,3.0,0.0,0.0
848e6cbffffffff,1.0,0.0,0.0
848e6cdffffffff,2.0,0.0,0.0
848e6d9ffffffff,12.0,0.0,0.0
848e6ddffffffff,23.0,0.0,0.0
848f291ffffffff,4.0,0.0,0.0
848f293ffffffff,1.0,0.0,0.0
848f297ffffffff,40.0,0.0,0.0
848f299ffffffff,1.0,0.0,0.0
848f2d1ffffffff,1.0,0.0,0.0
848f2d3ffffffff,10.0,0.0,0.0
848f2d5ffffffff,3.0,0.0,0.0
848f2d9ffffffff,4.0,0.0,0.0
848f425ffffffff,10.0,0.0,0.0
848f42dffffffff,1.0,0.0,0.0
848f4a5ffffffff,5.0,0.0,3.0
848f553ffffffff,100.0,0.0,20.0
848f559ffffffff,2.0,0.0,0.0
848f55bffffffff,8.0,0.0,5.0
848f59bffffffff,5.0,0.0,0.0
848f5ddffffffff,3.0,0.0,0.0
848f721ffffffff,5.0,0.0,0.0
848f72dffffffff,1.0,0.0,0.0
848f765ffffffff,15.0,0.0,0.0
848f767ffffffff,3.0,0.0,0.0
848f769ffffffff,10.0,0.0,0.0
848f76dffffffff,158.0,11.0,0.0
