cell_id,Rallus crepitans,Rallus crepitans crepitans/waynei,Rallus crepitans saturatus/scottii,Rallus crepitans [caribaeus Group],Rallus crepitans [pallidus Group]
832a10fffffffff,4473.0,264.0,0.0,0.0,0.0
832a13fffffffff,6101.0,625.0,0.0,0.0,0.0
832a14fffffffff,1041.0,64.0,0.0,0.0,0.0
832a15fffffffff,2016.0,91.0,0.0,0.0,0.0
832a1afffffffff,90.0,2.0,0.0,0.0,0.0
832a31fffffffff,208.0,14.0,0.0,0.0,0.0
832a33fffffffff,164.0,9.0,0.0,0.0,0.0
832aa8fffffffff,24.0,5.0,0.0,0.0,0.0
832aa9fffffffff,4692.0,723.0,0.0,0.0,0.0
832aabfffffffff,6.0,0.0,0.0,0.0,0.0
832aacfffffffff,16.0,0.0,0.0,0.0,0.0
832aadfffffffff,15117.0,1220.0,0.0,0.0,0.0
832ac6fffffffff,22.0,2.0,0.0,0.0,0.0
832ad0fffffffff,233.0,0.0,0.0,0.0,0.0
832ad1fffffffff,782.0,0.0,0.0,0.0,0.0
832ad3fffffffff,2453.0,91.0,0.0,0.0,0.0
832ad5fffffffff,806.0,0.0,0.0,0.0,0.0
832af0fffffffff,201.0,28.0,0.0,0.0,0.0
832af1fffffffff,1584.0,249.0,0.0,0.0,0.0
832af3fffffffff,327.0,20.0,0.0,0.0,0.0
832af4fffffffff,17.0,2.0,0.0,0.0,0.0
832af6fffffffff,4017.0,328.0,0.0,0.0,0.0
834412fffffffff,14.0,0.0,0.0,0.0,0.0
834413fffffffff,202.0,0.0,0.0,0.0,0.0
834416fffffffff,204.0,0.0,0.0,0.0,0.0
83441afffffffff,1016.0,0.0,155.0,0.0,0.0
83441bfffffffff,924.0,0.0,39.0,0.0,0.0
83441efffffffff,318.0,0.0,28.0,0.0,0.0
834424fffffffff,154.0,0.0,0.0,0.0,0.0
834432fffffffff,3.0,0.0,0.0,2.0,0.0
834436fffffffff,40.0,0.0,0.0,0.0,0.0
834444fffffffff,42.0,0.0,0.0,0.0,0.0
834445fffffffff,69.0,0.0,0.0,0.0,0.0
834446fffffffff,333.0,0.0,0.0,0.0,0.0
834450fffffffff,4118.0,0.0,300.0,0.0,0.0
834452fffffffff,15.0,0.0,0.0,0.0,0.0
834454fffffffff,27.0,0.0,0.0,0.0,0.0
834455fffffffff,3250.0,0.0,0.0,0.0,0.0
834456fffffffff,179.0,0.0,8.0,0.0,0.0
834463fffffffff,667.0,0.0,0.0,0.0,0.0
83446cfffffffff,6486.0,0.0,940.0,0.0,0.0
83446efffffffff,2578.0,0.0,31.0,0.0,0.0
834471fffffffff,838.0,0.0,0.0,0.0,0.0
834473fffffffff,2824.0,0.0,0.0,0.0,0.0
834480fffffffff,11.0,0.0,0.0,0.0,0.0
834484fffffffff,19.0,0.0,0.0,0.0,0.0
834485fffffffff,69.0,0.0,0.0,0.0,0.0
834486fffffffff,38.0,0.0,0.0,0.0,0.0
8344a3fffffffff,30.0,0.0,0.0,0.0,0.0
8344a5fffffffff,187.0,0.0,0.0,0.0,0.0
8344a8fffffffff,56.0,0.0,0.0,0.0,0.0
8344a9fffffffff,4.0,0.0,0.0,0.0,0.0
8344abfffffffff,994.0,91.0,0.0,0.0,0.0
8344adfffffffff,33.0,0.0,11.0,0.0,0.0
8344aefffffffff,2.0,0.0,0.0,0.0,0.0
8344b0fffffffff,4.0,0.0,0.0,0.0,0.0
8344b1fffffffff,21.0,0.0,0.0,0.0,0.0
8344b5fffffffff,170.0,0.0,0.0,0.0,0.0
8344b6fffffffff,19.0,0.0,0.0,0.0,0.0
8344d0fffffffff,8622.0,140.0,0.0,0.0,0.0
8344d2fffffffff,1228.0,17.0,0.0,0.0,0.0
8344d3fffffffff,43.0,0.0,0.0,0.0,0.0
8344d5fffffffff,3623.0,170.0,0.0,0.0,0.0
8344e4fffffffff,356.0,0.0,28.0,0.0,0.0
8344e5fffffffff,166.0,0.0,0.0,0.0,0.0
8344e6fffffffff,2333.0,0.0,254.0,0.0,0.0
8344f0fffffffff,3864.0,436.0,0.0,0.0,0.0
8344f3fffffffff,6887.0,981.0,0.0,0.0,0.0
8344f4fffffffff,33.0,0.0,0.0,0.0,0.0
8344f5fffffffff,57.0,0.0,0.0,0.0,0.0
8344f6fffffffff,1721.0,4.0,0.0,0.0,0.0
834501fffffffff,85.0,0.0,0.0,0.0,9.0
834505fffffffff,686.0,0.0,0.0,0.0,55.0
834509fffffffff,374.0,0.0,0.0,0.0,145.0
83450afffffffff,67.0,0.0,0.0,0.0,0.0
83450bfffffffff,208.0,0.0,0.0,0.0,43.0
83450efffffffff,20.0,0.0,0.0,0.0,0.0
83451dfffffffff,8.0,0.0,0.0,0.0,0.0
834523fffffffff,293.0,0.0,0.0,0.0,14.0
83452afffffffff,2.0,0.0,0.0,0.0,0.0
834554fffffffff,1.0,0.0,0.0,0.0,0.0
834572fffffffff,421.0,0.0,0.0,0.0,161.0
834588fffffffff,4.0,0.0,0.0,2.0,0.0
834589fffffffff,2.0,0.0,0.0,0.0,0.0
83458afffffffff,5.0,0.0,0.0,0.0,0.0
83458cfffffffff,434.0,0.0,0.0,222.0,0.0
83458dfffffffff,1.0,0.0,0.0,0.0,0.0
83458efffffffff,37.0,0.0,0.0,5.0,0.0
834590fffffffff,9.0,0.0,0.0,5.0,0.0
834591fffffffff,2.0,0.0,0.0,0.0,0.0
834595fffffffff,3.0,0.0,0.0,3.0,0.0
834598fffffffff,394.0,0.0,0.0,186.0,0.0
83459cfffffffff,2.0,0.0,0.0,0.0,0.0
83459dfffffffff,18.0,0.0,0.0,2.0,0.0
8345b2fffffffff,7.0,0.0,0.0,0.0,0.0
834890fffffffff,1263.0,0.0,89.0,0.0,0.0
834891fffffffff,5.0,0.0,0.0,0.0,0.0
834892fffffffff,874.0,0.0,28.0,0.0,0.0
834893fffffffff,622.0,0.0,14.0,0.0,0.0
834895fffffffff,699.0,0.0,72.0,0.0,0.0
8348b2fffffffff,3528.0,0.0,682.0,0.0,0.0
8348b3fffffffff,108.0,0.0,13.0,0.0,0.0
834c81fffffffff,2.0,0.0,0.0,0.0,0.0
