cell_id,Lanius excubitor,Lanius excubitor [excubitor Group],Lanius excubitor [elegans Group],Lanius excubitor aucheri/buryi,Lanius excubitor uncinatus,Lanius excubitor pallidirostris,Lanius excubitor lahtora
820127fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
820807fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82081ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,32.0,2.0,0.0,0.0,0.0,0.0,0.0
820897fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,177.0,16.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8208affffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,27.0,2.0,0.0,0.0,0.0,0.0,0.0
8208dffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82098ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
82099ffffffffff,13.0,3.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
820bb7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82108ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8210c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8210f7fffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0
821107fffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0
821127fffffffff,35.0,2.0,0.0,0.0,0.0,0.0,0.0
82112ffffffffff,9.0,5.0,0.0,0.0,0.0,0.0,0.0
821137fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
