cell_id,Cyanocorax heilprini,Cyanocorax heilprini heilprini,Cyanocorax heilprini hafferi
836641fffffffff,82.0,6.0,0.0
836645fffffffff,1.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
83665afffffffff,308.0,13.0,0.0
83665bfffffffff,117.0,4.0,0.0
83665efffffffff,2.0,0.0,0.0
83666afffffffff,5.0,0.0,0.0
83666cfffffffff,1.0,0.0,0.0
83666efffffffff,3.0,0.0,0.0
8366eefffffffff,1.0,0.0,0.0
838a00fffffffff,6.0,0.0,5.0
838a05fffffffff,55.0,0.0,51.0
838a4afffffffff,1.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0
