cell_id,Ducula rubricera,Ducula rubricera rubricera,Ducula rubricera rufigula
827687fffffffff,1.0,0.0,0.0
82769ffffffffff,4.0,0.0,0.0
82779ffffffffff,3.0,0.0,0.0
829c97fffffffff,20.0,1.0,0.0
829ed7fffffffff,2.0,0.0,0.0
829edffffffffff,4.0,0.0,0.0
