cell_id,Patagioenas maculosa,Patagioenas maculosa albipennis,Patagioenas maculosa maculosa
828b67fffffffff,4.0,2.0,0.0
828e67fffffffff,17.0,12.0,0.0
828f5ffffffffff,1.0,0.0,0.0
82a92ffffffffff,3.0,0.0,3.0
82a967fffffffff,32.0,0.0,0.0
82a96ffffffffff,29.0,0.0,0.0
82b247fffffffff,2.0,0.0,1.0
82b24ffffffffff,1024.0,0.0,0.0
82b25ffffffffff,3.0,0.0,0.0
82b267fffffffff,14.0,0.0,0.0
82b26ffffffffff,286.0,0.0,0.0
82b277fffffffff,7.0,0.0,0.0
82b2c7fffffffff,2.0,0.0,2.0
82b2effffffffff,15.0,0.0,9.0
82b307fffffffff,81.0,10.0,0.0
82b30ffffffffff,48.0,26.0,0.0
82b327fffffffff,5.0,2.0,0.0
82b337fffffffff,8.0,0.0,0.0
82b347fffffffff,2.0,0.0,0.0
82b357fffffffff,16.0,14.0,0.0
82b35ffffffffff,11.0,2.0,2.0
82b36ffffffffff,4.0,0.0,0.0
82b377fffffffff,14.0,2.0,0.0
82c21ffffffffff,9.0,0.0,6.0
82c2c7fffffffff,20.0,0.0,11.0
82c2cffffffffff,421.0,0.0,0.0
82c2d7fffffffff,2.0,0.0,0.0
82c2dffffffffff,5.0,0.0,0.0
82c2e7fffffffff,15.0,0.0,0.0
82c2effffffffff,74.0,0.0,0.0
82c2f7fffffffff,8.0,0.0,0.0
82c32ffffffffff,2.0,0.0,0.0
82c34ffffffffff,19.0,0.0,0.0
82ce87fffffffff,6.0,0.0,0.0
82ce97fffffffff,12.0,0.0,0.0
