cell_id,Stigmatura budytoides,Stigmatura budytoides [budytoides Group],Stigmatura budytoides gracilis
8480141ffffffff,1.0,0.0,1.0
8480301ffffffff,165.0,0.0,81.0
8480309ffffffff,1.0,0.0,0.0
8480341ffffffff,6.0,0.0,0.0
8480359ffffffff,3.0,0.0,0.0
8480363ffffffff,2.0,0.0,2.0
8481003ffffffff,1.0,0.0,0.0
8481011ffffffff,3.0,0.0,3.0
8481029ffffffff,2.0,0.0,2.0
8481053ffffffff,9.0,0.0,7.0
8481065ffffffff,2.0,0.0,0.0
84810e1ffffffff,3.0,0.0,3.0
8481137ffffffff,6.0,0.0,6.0
8481157ffffffff,3.0,0.0,0.0
8481189ffffffff,6.0,0.0,4.0
8481193ffffffff,4.0,0.0,0.0
84811a1ffffffff,10.0,0.0,10.0
84811a7ffffffff,1.0,0.0,1.0
84811abffffffff,8.0,0.0,1.0
84811e1ffffffff,6.0,0.0,6.0
8481211ffffffff,4.0,0.0,2.0
8481219ffffffff,8.0,0.0,3.0
848121dffffffff,7.0,0.0,3.0
8481243ffffffff,7.0,0.0,0.0
848124bffffffff,2.0,0.0,0.0
84812a1ffffffff,1.0,0.0,1.0
8481339ffffffff,2.0,0.0,0.0
8481a8bffffffff,1.0,0.0,0.0
8481a8dffffffff,4.0,0.0,0.0
8481ad1ffffffff,54.0,0.0,26.0
8481ad5ffffffff,5.0,0.0,0.0
8481addffffffff,2.0,0.0,0.0
8481ae3ffffffff,2.0,0.0,0.0
848b201ffffffff,58.0,0.0,0.0
848b203ffffffff,84.0,0.0,0.0
848b205ffffffff,5.0,0.0,0.0
848b207ffffffff,6.0,0.0,0.0
848b20bffffffff,137.0,0.0,0.0
848b219ffffffff,1.0,0.0,0.0
848b21dffffffff,9.0,0.0,0.0
848b241ffffffff,2.0,0.0,0.0
848b243ffffffff,1.0,0.0,0.0
848b247ffffffff,4.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0
848b24bffffffff,3.0,0.0,0.0
848b251ffffffff,29.0,0.0,0.0
848b255ffffffff,1.0,0.0,0.0
848b257ffffffff,4.0,0.0,0.0
848b259ffffffff,29.0,0.0,0.0
848b25dffffffff,15.0,0.0,0.0
848b269ffffffff,3.0,0.0,0.0
848b2c9ffffffff,26.0,0.0,0.0
848b2cdffffffff,4.0,0.0,0.0
848b345ffffffff,1.0,0.0,0.0
84a84d9ffffffff,1.0,0.0,0.0
84a8653ffffffff,2.0,0.0,0.0
84a865bffffffff,55.0,0.0,0.0
84a8691ffffffff,1.0,0.0,0.0
84a86d3ffffffff,4.0,0.0,0.0
84a948bffffffff,2.0,0.0,0.0
