cell_id,Chalcites lucidus,Chalcites lucidus harterti,Chalcites lucidus layardi,Chalcites lucidus lucidus,Chalcites lucidus plagosus
839423fffffffff,3.0,0.0,0.0,0.0,0.0
839480fffffffff,5.0,0.0,0.0,0.0,0.0
839491fffffffff,2.0,0.0,0.0,0.0,0.0
839c23fffffffff,1.0,0.0,0.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0,0.0,0.0
839c90fffffffff,5.0,0.0,0.0,0.0,0.0
839d24fffffffff,2.0,0.0,0.0,0.0,0.0
839e11fffffffff,1.0,0.0,1.0,0.0,0.0
83a71bfffffffff,2.0,0.0,0.0,0.0,0.0
83a733fffffffff,1.0,0.0,0.0,0.0,0.0
83b916fffffffff,2.0,0.0,0.0,0.0,0.0
83b9acfffffffff,2.0,0.0,0.0,0.0,2.0
83bb09fffffffff,8.0,0.0,0.0,0.0,0.0
83bb2dfffffffff,2.0,0.0,0.0,0.0,0.0
83bb50fffffffff,5.0,0.0,0.0,0.0,0.0
83bb53fffffffff,4.0,0.0,0.0,0.0,0.0
83be08fffffffff,13.0,0.0,0.0,0.0,2.0
83be0dfffffffff,2.0,0.0,0.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0,0.0,2.0
83be41fffffffff,2.0,0.0,0.0,0.0,0.0
83be44fffffffff,8.0,0.0,0.0,0.0,2.0
83be45fffffffff,2.0,0.0,0.0,0.0,0.0
83be49fffffffff,4.0,0.0,0.0,0.0,0.0
83be4efffffffff,9.0,0.0,0.0,0.0,1.0
83be63fffffffff,22.0,0.0,0.0,0.0,3.0
83be68fffffffff,2.0,0.0,0.0,0.0,0.0
83be71fffffffff,11.0,0.0,0.0,0.0,6.0
83be72fffffffff,24.0,0.0,0.0,0.0,0.0
83be89fffffffff,1.0,0.0,0.0,1.0,0.0
83be8dfffffffff,34.0,0.0,0.0,29.0,1.0
83beabfffffffff,1.0,0.0,0.0,0.0,0.0
83beaefffffffff,1.0,0.0,0.0,1.0,0.0
83bef2fffffffff,3.0,0.0,0.0,3.0,0.0
83bf8bfffffffff,3.0,0.0,0.0,1.0,0.0
83c993fffffffff,7.0,0.0,0.0,0.0,0.0
83da82fffffffff,2.0,0.0,0.0,0.0,0.0
83da86fffffffff,4.0,0.0,0.0,0.0,0.0
83da94fffffffff,1.0,0.0,0.0,0.0,0.0
83da95fffffffff,2.0,0.0,0.0,0.0,0.0
83da9cfffffffff,2.0,0.0,0.0,0.0,0.0
83dab3fffffffff,2.0,0.0,0.0,0.0,0.0
