cell_id,Treron curvirostra,Treron curvirostra [curvirostra Group],Treron curvirostra hypothapsinus/smicrus
843c0a5ffffffff,2.0,0.0,0.0
843c159ffffffff,5.0,0.0,0.0
843c191ffffffff,4.0,0.0,0.0
843c199ffffffff,89.0,0.0,0.0
843c19bffffffff,9.0,0.0,0.0
843c1d3ffffffff,5.0,0.0,0.0
843c1d7ffffffff,3.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0
843c587ffffffff,2.0,0.0,0.0
843c5a1ffffffff,141.0,0.0,0.0
843c5adffffffff,14.0,0.0,0.0
843c5bdffffffff,11.0,0.0,0.0
843c8c7ffffffff,10.0,0.0,0.0
843c8c9ffffffff,1.0,0.0,0.0
843c8cbffffffff,12.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0
843cc0bffffffff,29.0,0.0,0.0
843cc2bffffffff,2.0,0.0,0.0
843cc41ffffffff,28.0,0.0,0.0
843cc43ffffffff,2.0,0.0,0.0
843cc47ffffffff,23.0,0.0,0.0
843cc55ffffffff,1.0,0.0,0.0
843cc5dffffffff,9.0,0.0,0.0
843cc6bffffffff,9.0,0.0,0.0
843cdcdffffffff,1.0,0.0,0.0
843ce03ffffffff,3.0,0.0,0.0
843ce15ffffffff,81.0,0.0,0.0
843ce1bffffffff,2.0,0.0,0.0
843ce2bffffffff,8.0,0.0,0.0
843ce41ffffffff,1.0,0.0,0.0
843ce43ffffffff,6.0,0.0,0.0
843ce4dffffffff,33.0,0.0,0.0
843ce53ffffffff,4.0,0.0,0.0
843ce55ffffffff,15.0,0.0,0.0
843ce57ffffffff,21.0,0.0,0.0
843cec1ffffffff,76.0,0.0,0.0
843cec3ffffffff,8.0,0.0,0.0
843cec9ffffffff,35.0,0.0,0.0
843ced5ffffffff,4.0,0.0,0.0
843cf2dffffffff,2.0,0.0,0.0
8440483ffffffff,4.0,0.0,0.0
8440491ffffffff,1.0,0.0,0.0
8440499ffffffff,2.0,0.0,0.0
84404c5ffffffff,1.0,0.0,0.0
84404c7ffffffff,2.0,0.0,0.0
84404ddffffffff,19.0,0.0,0.0
844061bffffffff,3.0,0.0,0.0
8440651ffffffff,2.0,1.0,0.0
8440653ffffffff,3.0,0.0,0.0
84406b7ffffffff,2.0,0.0,0.0
8441433ffffffff,15.0,0.0,0.0
844143bffffffff,4.0,0.0,0.0
8441485ffffffff,1.0,0.0,0.0
844160bffffffff,2.0,0.0,0.0
8441655ffffffff,1.0,0.0,0.0
84416c5ffffffff,3.0,0.0,0.0
84416d7ffffffff,4.0,0.0,0.0
84416e1ffffffff,11.0,0.0,0.0
84416e5ffffffff,5.0,0.0,0.0
84416edffffffff,1.0,0.0,0.0
8441715ffffffff,7.0,0.0,0.0
8441719ffffffff,2.0,0.0,0.0
8464125ffffffff,2.0,0.0,0.0
846414dffffffff,2.0,0.0,0.0
8464165ffffffff,2.0,0.0,0.0
846416dffffffff,919.0,178.0,0.0
8464225ffffffff,3.0,0.0,0.0
8464227ffffffff,1.0,0.0,0.0
846422dffffffff,10.0,3.0,0.0
8464265ffffffff,2.0,0.0,0.0
8464267ffffffff,1.0,0.0,0.0
846426dffffffff,5.0,3.0,0.0
8464309ffffffff,3.0,0.0,0.0
846430bffffffff,5.0,2.0,0.0
8464313ffffffff,7.0,6.0,0.0
8464319ffffffff,32.0,6.0,0.0
846431dffffffff,4.0,0.0,0.0
8464333ffffffff,1.0,0.0,0.0
8464343ffffffff,166.0,42.0,0.0
846434bffffffff,3.0,0.0,0.0
8464353ffffffff,6.0,4.0,0.0
8464357ffffffff,14.0,2.0,0.0
8464359ffffffff,68.0,16.0,0.0
846435bffffffff,9.0,0.0,0.0
846480bffffffff,2.0,0.0,0.0
846480dffffffff,5.0,0.0,0.0
8464825ffffffff,17.0,3.0,0.0
8464829ffffffff,9.0,5.0,0.0
846482bffffffff,8.0,0.0,0.0
846482dffffffff,3.0,1.0,0.0
8464843ffffffff,2.0,0.0,0.0
8464849ffffffff,2.0,0.0,0.0
