cell_id,Paradoxornis heudei,Paradoxornis heudei polivanovi,Paradoxornis heudei heudei
831499fffffffff,1.0,0.0,0.0
8314b2fffffffff,1.0,0.0,0.0
831590fffffffff,2.0,0.0,0.0
831592fffffffff,14.0,0.0,0.0
832ec9fffffffff,1.0,0.0,0.0
832ecbfffffffff,14.0,3.0,0.0
833016fffffffff,2.0,0.0,0.0
833026fffffffff,1.0,0.0,0.0
833080fffffffff,6.0,0.0,0.0
833081fffffffff,39.0,0.0,1.0
833083fffffffff,13.0,0.0,0.0
833084fffffffff,4.0,0.0,0.0
83308efffffffff,4.0,0.0,0.0
833091fffffffff,2.0,0.0,0.0
833099fffffffff,67.0,0.0,9.0
83309bfffffffff,422.0,0.0,51.0
83309dfffffffff,90.0,0.0,9.0
8330a3fffffffff,1.0,0.0,0.0
8330b5fffffffff,4.0,0.0,0.0
83316cfffffffff,1.0,1.0,0.0
83316efffffffff,1.0,0.0,0.0
833181fffffffff,31.0,0.0,0.0
833182fffffffff,1.0,0.0,0.0
833188fffffffff,60.0,0.0,0.0
83318cfffffffff,49.0,0.0,0.0
83318dfffffffff,453.0,0.0,0.0
83319dfffffffff,8.0,0.0,0.0
8331aafffffffff,85.0,0.0,0.0
834096fffffffff,1.0,0.0,0.0
834b34fffffffff,3.0,0.0,0.0
