cell_id,Turdus papuensis,Turdus papuensis versteegi,Turdus papuensis erebus,Turdus papuensis papuensis,Turdus papuensis keysseri,Turdus papuensis canescens
82728ffffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8272dffffffffff,18.0,0.0,0.0,13.0,0.0,0.0
829c87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829cd7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
