cell_id,Falco chicquera,Falco chicquera chicquera,Falco chicquera ruficollis/horsbrughi
823c07fffffffff,16.0,3.0,0.0
823c1ffffffffff,20.0,2.0,0.0
823c37fffffffff,7.0,0.0,0.0
823c57fffffffff,3.0,0.0,0.0
823c5ffffffffff,9.0,0.0,0.0
823c87fffffffff,12.0,0.0,0.0
823c8ffffffffff,5.0,0.0,0.0
823c97fffffffff,8.0,0.0,0.0
823c9ffffffffff,5.0,0.0,0.0
823caffffffffff,1.0,0.0,0.0
823cb7fffffffff,1.0,1.0,0.0
823ce7fffffffff,6.0,0.0,0.0
823ceffffffffff,1.0,0.0,0.0
823cf7fffffffff,17.0,0.0,0.0
823d37fffffffff,14.0,0.0,0.0
823d87fffffffff,2.0,0.0,0.0
823d8ffffffffff,2.0,0.0,0.0
823d97fffffffff,2.0,1.0,0.0
823d9ffffffffff,2.0,0.0,0.0
823da7fffffffff,9.0,4.0,0.0
823db7fffffffff,11.0,9.0,0.0
824257fffffffff,1.0,1.0,0.0
8242c7fffffffff,11.0,4.0,0.0
8242cffffffffff,31.0,0.0,0.0
8242dffffffffff,2.0,0.0,0.0
8242effffffffff,4.0,0.0,0.0
82541ffffffffff,1.0,0.0,1.0
826007fffffffff,14.0,3.0,0.0
826017fffffffff,199.0,0.0,0.0
82601ffffffffff,6.0,0.0,0.0
826037fffffffff,51.0,0.0,0.0
82608ffffffffff,8.0,1.0,0.0
8260a7fffffffff,59.0,8.0,0.0
8260affffffffff,7.0,0.0,0.0
8260b7fffffffff,7.0,0.0,0.0
82618ffffffffff,44.0,1.0,0.0
82619ffffffffff,16.0,0.0,0.0
8261affffffffff,4.0,0.0,0.0
827a47fffffffff,13.0,0.0,2.0
827a4ffffffffff,3.0,0.0,0.0
829627fffffffff,3.0,0.0,0.0
8296b7fffffffff,2.0,0.0,0.0
82971ffffffffff,5.0,0.0,0.0
829757fffffffff,9.0,0.0,0.0
82bcdffffffffff,3.0,0.0,0.0
