cell_id,Erythropitta novaehibernicae,Erythropitta novaehibernicae novaehibernicae/extima,Erythropitta novaehibernicae splendida,Erythropitta novaehibernicae gazellae
82779ffffffffff,11.0,8.0,0.0,3.0
829c97fffffffff,83.0,0.0,0.0,82.0
