cell_id,Ispidina picta,Ispidina picta picta/ferrugina,Ispidina picta natalensis
8454c4bffffffff,2.0,0.0,0.0
8454e35ffffffff,2.0,0.0,0.0
8454ea9ffffffff,2.0,0.0,0.0
8454f45ffffffff,1.0,0.0,0.0
8454f4dffffffff,2.0,0.0,0.0
846ac35ffffffff,1.0,1.0,0.0
847a413ffffffff,1.0,1.0,0.0
847a4c1ffffffff,1.0,1.0,0.0
847a4cbffffffff,1.0,0.0,0.0
847a6e5ffffffff,15.0,0.0,0.0
847b4adffffffff,12.0,0.0,0.0
847b4c5ffffffff,4.0,0.0,0.0
847b4c7ffffffff,4.0,0.0,1.0
847b4e7ffffffff,22.0,0.0,3.0
849600bffffffff,1.0,0.0,0.0
8496025ffffffff,2.0,0.0,0.0
8497513ffffffff,2.0,0.0,0.0
84bc193ffffffff,1.0,0.0,0.0
84bcf29ffffffff,1.0,0.0,1.0
