cell_id,Glaucidium gnoma,Glaucidium gnoma gnoma,Glaucidium gnoma [californicum Group],Glaucidium gnoma pinicola,Glaucidium gnoma cobanense,Glaucidium gnoma hoskinsii
83120efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831251fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
831252fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831286fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8312c3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8312e3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312e5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312eafffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831382fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
831386fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83138dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831391fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83139cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8313b2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832680fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
832683fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832684fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832685fffffffff,11.0,0.0,0.0,6.0,0.0,0.0
832688fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83268cfffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83268efffffffff,2.0,0.0,0.0,1.0,0.0,0.0
832690fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
832695fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
832696fffffffff,42.0,0.0,0.0,33.0,0.0,0.0
832698fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832699fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83269cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83269dfffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8326aafffffffff,2.0,0.0,0.0,2.0,0.0,0.0
832802fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832806fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832810fffffffff,22.0,0.0,2.0,0.0,0.0,0.0
832811fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832814fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
832815fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
83281bfffffffff,2.0,0.0,2.0,0.0,0.0,0.0
83281cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83281efffffffff,45.0,0.0,7.0,0.0,0.0,0.0
832830fffffffff,72.0,0.0,4.0,0.0,0.0,0.0
832831fffffffff,11.0,0.0,3.0,0.0,0.0,0.0
832832fffffffff,13.0,0.0,3.0,0.0,0.0,0.0
832833fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
832834fffffffff,9.0,0.0,4.0,0.0,0.0,0.0
832836fffffffff,34.0,0.0,0.0,0.0,0.0,0.0
832881fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
832884fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83288afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832893fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328a9fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8328aafffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8328adfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8328b6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8328c2fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8328d1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8328d3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328d5fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8328dcfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328f0fffffffff,26.0,0.0,2.0,0.0,0.0,0.0
8328f2fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8328f5fffffffff,5.0,0.0,5.0,0.0,0.0,0.0
83291afffffffff,7.0,0.0,3.0,0.0,0.0,0.0
83298cfffffffff,43.0,0.0,0.0,0.0,0.0,0.0
83298dfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
832990fffffffff,5.0,0.0,0.0,2.0,0.0,0.0
832995fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83299bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8329a0fffffffff,79.0,0.0,3.0,0.0,0.0,0.0
8329a1fffffffff,417.0,0.0,68.0,0.0,0.0,0.0
8329aafffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8329abfffffffff,3.0,0.0,3.0,0.0,0.0,0.0
8329acfffffffff,14.0,0.0,5.0,0.0,0.0,0.0
8329adfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8329aefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8329b2fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8329b6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834520fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
