cell_id,Dryoscopus cubla,Dryoscopus cubla affinis,Dryoscopus cubla [cubla Group]
846ac93ffffffff,8.0,0.0,0.0
847a681ffffffff,2.0,0.0,2.0
847a683ffffffff,1.0,0.0,0.0
847a6e5ffffffff,7.0,0.0,7.0
847b4c5ffffffff,20.0,0.0,0.0
847b4c7ffffffff,50.0,3.0,0.0
847b4cbffffffff,12.0,0.0,0.0
847b597ffffffff,1.0,0.0,0.0
8496925ffffffff,2.0,0.0,0.0
849728dffffffff,7.0,0.0,0.0
84972e3ffffffff,4.0,0.0,0.0
84bcd05ffffffff,1.0,0.0,0.0
84bcd29ffffffff,3.0,0.0,0.0
84bcd63ffffffff,1.0,0.0,0.0
84bcd67ffffffff,1.0,0.0,0.0
84bcdcdffffffff,5.0,0.0,0.0
