cell_id,Emberiza capensis,Emberiza capensis [capensis Group],Emberiza capensis vincenti
849702bffffffff,17.0,0.0,0.0
849703dffffffff,3.0,0.0,0.0
84970d3ffffffff,1.0,0.0,0.0
849719dffffffff,1.0,0.0,0.0
8497295ffffffff,1.0,0.0,0.0
849772dffffffff,2.0,0.0,0.0
84978e3ffffffff,7.0,0.0,7.0
84978ebffffffff,2.0,0.0,2.0
8497a85ffffffff,5.0,0.0,5.0
8497ab3ffffffff,2.0,0.0,2.0
8497ac7ffffffff,1.0,0.0,1.0
84ac801ffffffff,4.0,0.0,0.0
84ac81bffffffff,8.0,0.0,0.0
84ac851ffffffff,2.0,0.0,0.0
84ac853ffffffff,4.0,0.0,0.0
84ac863ffffffff,6.0,0.0,0.0
84aca03ffffffff,1.0,0.0,0.0
84aca15ffffffff,93.0,1.0,0.0
84aca27ffffffff,3.0,0.0,0.0
84aca39ffffffff,36.0,0.0,0.0
84aca3dffffffff,139.0,0.0,0.0
84aca4bffffffff,50.0,4.0,0.0
84aca5dffffffff,23.0,0.0,0.0
84aca61ffffffff,48.0,0.0,0.0
84aca6bffffffff,41.0,0.0,0.0
84acaa5ffffffff,10.0,0.0,0.0
84acae7ffffffff,6.0,0.0,0.0
84acaedffffffff,5.0,0.0,0.0
84acb11ffffffff,1.0,0.0,0.0
84ad121ffffffff,3.0,0.0,0.0
84ad125ffffffff,8.0,0.0,0.0
84ad127ffffffff,12.0,0.0,0.0
84ad12dffffffff,10.0,0.0,0.0
84ad167ffffffff,8.0,0.0,0.0
84ad321ffffffff,57.0,1.0,0.0
84ad325ffffffff,11.0,0.0,0.0
84ad329ffffffff,443.0,2.0,0.0
84ad32dffffffff,2.0,0.0,0.0
84ad361ffffffff,30.0,0.0,0.0
84ad365ffffffff,40.0,0.0,0.0
84ad367ffffffff,35.0,2.0,0.0
84ad369ffffffff,447.0,6.0,0.0
84ad36dffffffff,42.0,1.0,0.0
84ad85bffffffff,2.0,0.0,0.0
84ad887ffffffff,4.0,0.0,0.0
84ad8b5ffffffff,2.0,0.0,0.0
84ada03ffffffff,8.0,0.0,0.0
84ada07ffffffff,4.0,0.0,0.0
84ada1bffffffff,36.0,0.0,0.0
84ada1dffffffff,2.0,0.0,0.0
84ada21ffffffff,32.0,1.0,0.0
84ada39ffffffff,2.0,1.0,0.0
84ada49ffffffff,2.0,0.0,0.0
84ada4dffffffff,16.0,1.0,0.0
84ada53ffffffff,6.0,0.0,0.0
84ada61ffffffff,1.0,0.0,0.0
84ada65ffffffff,2.0,0.0,0.0
84ada8dffffffff,6.0,0.0,0.0
84adaa9ffffffff,8.0,0.0,0.0
84adaadffffffff,7.0,0.0,0.0
84adab7ffffffff,3.0,0.0,0.0
84adacbffffffff,6.0,0.0,0.0
84adacdffffffff,3.0,0.0,0.0
84adae3ffffffff,2.0,0.0,0.0
84adb07ffffffff,3.0,0.0,0.0
84adb43ffffffff,2.0,0.0,0.0
84adb53ffffffff,1.0,0.0,0.0
84bc091ffffffff,4.0,0.0,0.0
84bc403ffffffff,17.0,1.0,0.0
84bc40dffffffff,110.0,0.0,0.0
84bc411ffffffff,24.0,0.0,0.0
84bc41bffffffff,4.0,0.0,0.0
84bc41dffffffff,14.0,0.0,0.0
84bc431ffffffff,121.0,0.0,0.0
84bc435ffffffff,6.0,0.0,0.0
84bc437ffffffff,4.0,0.0,0.0
84bc43bffffffff,1.0,0.0,0.0
84bc443ffffffff,1.0,0.0,0.0
84bc453ffffffff,1.0,0.0,0.0
84bc455ffffffff,3.0,0.0,0.0
84bc46dffffffff,3.0,0.0,0.0
84bc481ffffffff,18.0,0.0,0.0
84bc483ffffffff,2.0,0.0,0.0
84bc487ffffffff,1.0,0.0,0.0
84bc489ffffffff,2.0,0.0,0.0
84bc48bffffffff,15.0,0.0,0.0
84bc48dffffffff,2.0,0.0,0.0
84bc491ffffffff,57.0,0.0,0.0
84bc497ffffffff,5.0,0.0,0.0
84bc499ffffffff,5.0,0.0,0.0
84bc49bffffffff,22.0,0.0,0.0
84bc49dffffffff,27.0,0.0,0.0
84bc4a3ffffffff,3.0,0.0,0.0
84bc4b1ffffffff,4.0,0.0,0.0
84bc4b7ffffffff,1.0,0.0,0.0
84bc4b9ffffffff,2.0,0.0,0.0
84bc4bbffffffff,10.0,0.0,0.0
84bc4bdffffffff,53.0,1.0,0.0
84bc4c7ffffffff,4.0,0.0,0.0
84bc4c9ffffffff,2.0,0.0,0.0
84bc4cbffffffff,7.0,0.0,0.0
84bc4cdffffffff,2.0,0.0,0.0
84bc4d1ffffffff,6.0,0.0,0.0
84bc4d3ffffffff,5.0,0.0,0.0
84bc4d5ffffffff,212.0,0.0,0.0
84bc4d7ffffffff,10.0,2.0,0.0
84bc4d9ffffffff,63.0,0.0,0.0
84bc4dbffffffff,5.0,0.0,0.0
84bc4ddffffffff,182.0,1.0,0.0
84bc4e9ffffffff,8.0,0.0,0.0
84bc4ebffffffff,2.0,0.0,0.0
84bc501ffffffff,6.0,0.0,0.0
84bc507ffffffff,1.0,0.0,0.0
84bc50bffffffff,20.0,0.0,0.0
84bc511ffffffff,1.0,0.0,0.0
84bc519ffffffff,2.0,0.0,0.0
84bc51bffffffff,2.0,0.0,0.0
84bc559ffffffff,6.0,0.0,0.0
84bc567ffffffff,2.0,0.0,0.0
84bc599ffffffff,1.0,0.0,0.0
84bc5c1ffffffff,2.0,0.0,0.0
84bc5c9ffffffff,6.0,0.0,0.0
84bc5d7ffffffff,2.0,0.0,0.0
84bc683ffffffff,16.0,0.0,0.0
84bc687ffffffff,104.0,1.0,0.0
84bc695ffffffff,3.0,0.0,0.0
84bc697ffffffff,592.0,9.0,0.0
84bc6a1ffffffff,2.0,0.0,0.0
84bc6a3ffffffff,10.0,0.0,0.0
84bc6a7ffffffff,5.0,0.0,0.0
84bc6abffffffff,48.0,0.0,0.0
84bc6adffffffff,7.0,0.0,0.0
84bc6b1ffffffff,24.0,0.0,0.0
84bc6b3ffffffff,45.0,0.0,0.0
84bc6b5ffffffff,2.0,0.0,0.0
84bc6b7ffffffff,9.0,0.0,0.0
84bc6bbffffffff,1.0,0.0,0.0
84bc6bdffffffff,10.0,0.0,0.0
84bc731ffffffff,3.0,0.0,0.0
84bc89bffffffff,1.0,0.0,0.0
84bcc23ffffffff,2.0,0.0,0.0
84bcc27ffffffff,5.0,0.0,0.0
84bcc29ffffffff,6.0,0.0,0.0
84bcc2bffffffff,9.0,0.0,0.0
84bcc35ffffffff,4.0,2.0,0.0
84bcc37ffffffff,1.0,0.0,0.0
84bcc3dffffffff,93.0,1.0,0.0
84bcc45ffffffff,4.0,0.0,0.0
84bcc49ffffffff,14.0,2.0,0.0
84bcc4bffffffff,22.0,2.0,0.0
84bcc65ffffffff,7.0,0.0,0.0
84bcc69ffffffff,8.0,0.0,0.0
84bcc6dffffffff,73.0,0.0,0.0
84bcca5ffffffff,2.0,0.0,0.0
84bcd05ffffffff,5.0,0.0,0.0
84bcd07ffffffff,2.0,0.0,0.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd15ffffffff,14.0,0.0,0.0
84bcd1bffffffff,1.0,0.0,0.0
84bcd21ffffffff,3.0,0.0,0.0
84bcd25ffffffff,2.0,0.0,0.0
84bcd29ffffffff,6.0,0.0,0.0
84bcd3dffffffff,9.0,0.0,0.0
84bcd43ffffffff,1.0,0.0,0.0
84bcd57ffffffff,5.0,0.0,0.0
84bcd63ffffffff,2.0,0.0,0.0
84bcd67ffffffff,3.0,0.0,0.0
84bcd81ffffffff,13.0,0.0,0.0
84bcdcdffffffff,3.0,0.0,0.0
84bcdd9ffffffff,3.0,0.0,0.0
84bcdebffffffff,1.0,0.0,0.0
84bce05ffffffff,9.0,0.0,0.0
84bce13ffffffff,2.0,0.0,0.0
84bce21ffffffff,2.0,0.0,0.0
84bce23ffffffff,1.0,0.0,0.0
84bce25ffffffff,2.0,0.0,0.0
84bce29ffffffff,319.0,1.0,0.0
