cell_id,Oceanites oceanicus,Oceanites oceanicus oceanicus/exasperatus,Oceanites oceanicus chilensis
82074ffffffffff,1.0,0.0,0.0
820e4ffffffffff,55.0,0.0,0.0
821807fffffffff,65.0,0.0,0.0
82180ffffffffff,7.0,0.0,0.0
821847fffffffff,21.0,0.0,0.0
82184ffffffffff,50.0,0.0,0.0
821857fffffffff,23.0,0.0,0.0
82185ffffffffff,13.0,0.0,0.0
82186ffffffffff,1.0,0.0,0.0
821877fffffffff,33.0,2.0,0.0
821aa7fffffffff,7.0,0.0,0.0
821ab7fffffffff,13.0,0.0,0.0
821b87fffffffff,14.0,0.0,0.0
821b9ffffffffff,1.0,0.0,0.0
822807fffffffff,11.0,0.0,0.0
822837fffffffff,1152.0,43.0,0.0
8228c7fffffffff,19.0,0.0,0.0
8228e7fffffffff,19.0,0.0,0.0
822917fffffffff,64.0,0.0,0.0
82291ffffffffff,59.0,0.0,0.0
8229a7fffffffff,66.0,6.0,0.0
8229affffffffff,23.0,0.0,0.0
822a07fffffffff,154.0,0.0,0.0
822a17fffffffff,372.0,0.0,0.0
822a1ffffffffff,1855.0,6.0,0.0
822a27fffffffff,21.0,0.0,0.0
822a37fffffffff,366.0,0.0,0.0
822a4ffffffffff,2.0,0.0,0.0
822a8ffffffffff,6.0,0.0,0.0
822aa7fffffffff,4.0,0.0,0.0
822aaffffffffff,286.0,2.0,0.0
822ac7fffffffff,130.0,0.0,0.0
822acffffffffff,2.0,0.0,0.0
822ad7fffffffff,19.0,1.0,0.0
822adffffffffff,6.0,0.0,0.0
822af7fffffffff,1619.0,0.0,0.0
822b07fffffffff,10.0,0.0,0.0
822b0ffffffffff,15.0,0.0,0.0
822b17fffffffff,19.0,0.0,0.0
822b1ffffffffff,293.0,0.0,0.0
822b27fffffffff,26.0,0.0,0.0
822b2ffffffffff,4.0,0.0,0.0
822b37fffffffff,20.0,0.0,0.0
822b9ffffffffff,6.0,0.0,0.0
822baffffffffff,12.0,0.0,0.0
82309ffffffffff,3.0,0.0,0.0
823467fffffffff,12.0,3.0,0.0
82346ffffffffff,21.0,0.0,0.0
823917fffffffff,87.0,0.0,0.0
82391ffffffffff,152.0,0.0,0.0
823927fffffffff,248.0,4.0,0.0
823937fffffffff,111.0,0.0,0.0
823997fffffffff,4.0,0.0,0.0
823e6ffffffffff,12.0,0.0,0.0
8242d7fffffffff,3.0,0.0,0.0
8243affffffffff,49.0,2.0,0.0
82440ffffffffff,3.0,0.0,0.0
824417fffffffff,24.0,0.0,0.0
82441ffffffffff,5.0,0.0,0.0
824457fffffffff,7.0,0.0,0.0
824477fffffffff,6.0,0.0,0.0
82448ffffffffff,113.0,0.0,0.0
8244a7fffffffff,20.0,0.0,0.0
8244affffffffff,486.0,2.0,0.0
8244b7fffffffff,4.0,0.0,0.0
8244d7fffffffff,188.0,2.0,0.0
8244e7fffffffff,2.0,0.0,0.0
8244f7fffffffff,20.0,0.0,0.0
82482ffffffffff,1.0,0.0,0.0
82484ffffffffff,15.0,0.0,0.0
82485ffffffffff,1.0,0.0,0.0
824897fffffffff,1.0,0.0,0.0
824ba7fffffffff,24.0,0.0,0.0
825e5ffffffffff,2.0,0.0,0.0
825e67fffffffff,2.0,0.0,0.0
826007fffffffff,10.0,0.0,0.0
82601ffffffffff,20.0,0.0,0.0
826027fffffffff,414.0,0.0,0.0
82608ffffffffff,16.0,0.0,0.0
8260affffffffff,137.0,0.0,0.0
8260f7fffffffff,19.0,0.0,0.0
826187fffffffff,14.0,0.0,0.0
82618ffffffffff,45.0,0.0,0.0
826527fffffffff,2.0,0.0,0.0
