cell_id,Psilopogon chrysopogon,Psilopogon chrysopogon chrysopogon/laetus,Psilopogon chrysopogon chrysopsis
826417fffffffff,2.0,2.0,0.0
826437fffffffff,275.0,200.0,0.0
826507fffffffff,1160.0,428.0,0.0
82650ffffffffff,5.0,3.0,0.0
82651ffffffffff,463.0,206.0,0.0
826527fffffffff,33.0,18.0,0.0
82652ffffffffff,21.0,21.0,0.0
826557fffffffff,8.0,1.0,0.0
826807fffffffff,101.0,0.0,100.0
826817fffffffff,471.0,0.0,391.0
82681ffffffffff,596.0,0.0,452.0
82689ffffffffff,11.0,0.0,4.0
8268a7fffffffff,2.0,0.0,2.0
8268affffffffff,5.0,0.0,5.0
8268b7fffffffff,1.0,0.0,0.0
828c1ffffffffff,23.0,2.0,0.0
828c97fffffffff,71.0,0.0,64.0
828caffffffffff,2.0,0.0,0.0
828cb7fffffffff,3.0,0.0,0.0
828cd7fffffffff,32.0,17.0,0.0
