cell_id,Oenanthe picata,Oenanthe picata picata,Oenanthe picata capistrata,Oenanthe picata opistholeuca
822017fffffffff,2.0,0.0,0.0,0.0
822087fffffffff,11.0,3.0,0.0,8.0
82209ffffffffff,9.0,0.0,0.0,0.0
8220a7fffffffff,2.0,0.0,0.0,0.0
8220b7fffffffff,2.0,0.0,0.0,2.0
822c97fffffffff,3.0,0.0,0.0,0.0
823c07fffffffff,11.0,0.0,0.0,0.0
823d07fffffffff,2.0,0.0,0.0,0.0
823d17fffffffff,13.0,0.0,0.0,0.0
823d27fffffffff,4.0,0.0,0.0,0.0
823d37fffffffff,57.0,0.0,0.0,0.0
823d87fffffffff,6.0,0.0,0.0,0.0
823da7fffffffff,12.0,2.0,2.0,2.0
823daffffffffff,2.0,0.0,0.0,0.0
823db7fffffffff,56.0,1.0,0.0,1.0
824257fffffffff,35.0,2.0,1.0,1.0
82425ffffffffff,9.0,1.0,0.0,0.0
8242c7fffffffff,46.0,3.0,8.0,7.0
8242cffffffffff,22.0,0.0,0.0,2.0
8242e7fffffffff,1.0,0.0,0.0,1.0
8242effffffffff,9.0,0.0,0.0,0.0
8243affffffffff,3.0,0.0,0.0,0.0
826007fffffffff,19.0,0.0,0.0,0.0
826087fffffffff,1.0,0.0,0.0,0.0
82609ffffffffff,2.0,0.0,0.0,0.0
