cell_id,Picoides tridactylus,Picoides tridactylus [tridactylus Group],Picoides tridactylus funebris
820137fffffffff,1.0,0.0,0.0
8204c7fffffffff,1.0,0.0,0.0
820807fffffffff,1.0,0.0,0.0
820817fffffffff,13.0,0.0,0.0
82081ffffffffff,5.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0
820887fffffffff,21.0,0.0,0.0
82088ffffffffff,8.0,0.0,0.0
82089ffffffffff,20.0,2.0,0.0
8208a7fffffffff,15.0,0.0,0.0
8208affffffffff,9.0,0.0,0.0
8208b7fffffffff,6.0,0.0,0.0
8208c7fffffffff,11.0,2.0,0.0
8208cffffffffff,12.0,1.0,0.0
8208d7fffffffff,42.0,1.0,0.0
8208dffffffffff,30.0,2.0,0.0
8208e7fffffffff,13.0,0.0,0.0
8208effffffffff,12.0,0.0,0.0
8208f7fffffffff,13.0,0.0,0.0
820997fffffffff,4.0,0.0,0.0
82099ffffffffff,21.0,0.0,0.0
820a37fffffffff,1.0,0.0,0.0
820a97fffffffff,2.0,0.0,0.0
821017fffffffff,1.0,0.0,0.0
8210affffffffff,2.0,0.0,0.0
8210c7fffffffff,2.0,0.0,0.0
8210effffffffff,1.0,0.0,0.0
821107fffffffff,6.0,0.0,0.0
82110ffffffffff,1.0,0.0,0.0
821127fffffffff,14.0,0.0,0.0
82112ffffffffff,14.0,5.0,0.0
821137fffffffff,6.0,0.0,0.0
821167fffffffff,2.0,0.0,0.0
8211affffffffff,35.0,0.0,0.0
82159ffffffffff,26.0,2.0,0.0
821617fffffffff,18.0,0.0,0.0
821e07fffffffff,52.0,0.0,0.0
821e0ffffffffff,3.0,0.0,0.0
821e17fffffffff,25.0,0.0,0.0
821e2ffffffffff,6.0,0.0,0.0
821e37fffffffff,8.0,2.0,0.0
821e57fffffffff,9.0,0.0,0.0
821eaffffffffff,3.0,0.0,0.0
821ef7fffffffff,8.0,0.0,0.0
821f47fffffffff,6.0,0.0,0.0
821f4ffffffffff,2.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0
821f5ffffffffff,90.0,0.0,0.0
821f67fffffffff,12.0,0.0,0.0
821f6ffffffffff,2.0,0.0,0.0
821f87fffffffff,9.0,5.0,0.0
821f8ffffffffff,59.0,10.0,0.0
821f97fffffffff,6.0,0.0,0.0
821f9ffffffffff,12.0,1.0,0.0
8220e7fffffffff,30.0,0.0,0.0
8220effffffffff,3.0,0.0,0.0
8220f7fffffffff,1.0,0.0,0.0
822427fffffffff,8.0,0.0,0.0
82242ffffffffff,3.0,0.0,0.0
822467fffffffff,3.0,0.0,0.0
822547fffffffff,5.0,0.0,0.0
822557fffffffff,5.0,0.0,0.0
82255ffffffffff,77.0,0.0,0.0
822577fffffffff,1.0,0.0,0.0
8225b7fffffffff,12.0,0.0,0.0
823c6ffffffffff,16.0,0.0,3.0
82405ffffffffff,3.0,0.0,2.0
8240c7fffffffff,14.0,0.0,0.0
8240e7fffffffff,5.0,0.0,0.0
