cell_id,Passerculus sandwichensis,Passerculus sandwichensis [sandwichensis Group],Passerculus sandwichensis princeps,Passerculus sandwichensis [guttatus Group],Passerculus sandwichensis sanctorum,Passerculus sandwichensis rostratus/atratus
820247fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8202cffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8202d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820c07fffffffff,243.0,0.0,0.0,0.0,0.0,0.0
820c0ffffffffff,46.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,5714.0,0.0,0.0,0.0,0.0,0.0
820c1ffffffffff,331.0,6.0,0.0,0.0,0.0,0.0
820c27fffffffff,106.0,0.0,0.0,0.0,0.0,0.0
820c2ffffffffff,97.0,4.0,0.0,0.0,0.0,0.0
820c37fffffffff,854.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,1407.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,2011.0,4.0,0.0,0.0,0.0,0.0
820c5ffffffffff,866.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,601.0,46.0,0.0,0.0,0.0,0.0
820c6ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,4262.0,311.0,0.0,0.0,0.0,0.0
820c8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,425.0,0.0,0.0,0.0,0.0,0.0
820caffffffffff,17.0,1.0,0.0,0.0,0.0,0.0
820cc7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820ccffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,241.0,0.0,0.0,0.0,0.0,0.0
820ce7fffffffff,91.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,120.0,0.0,0.0,0.0,0.0,0.0
820cf7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,1497.0,0.0,0.0,0.0,0.0,0.0
820d0ffffffffff,439.0,0.0,0.0,0.0,0.0,0.0
820d1ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0
820d47fffffffff,36.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,271.0,2.0,0.0,0.0,0.0,0.0
820d57fffffffff,296.0,2.0,0.0,0.0,0.0,0.0
820d5ffffffffff,1204.0,52.0,0.0,0.0,0.0,0.0
820d67fffffffff,1136.0,0.0,0.0,0.0,0.0,0.0
820d6ffffffffff,80.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,271.0,0.0,0.0,0.0,0.0,0.0
820d8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820e07fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
820e0ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820e2ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820e37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820e47fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,1924.0,5.0,0.0,0.0,0.0,0.0
820e57fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
820e5ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
820e67fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,32.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,2948.0,0.0,0.0,0.0,0.0,0.0
820e8ffffffffff,36.0,0.0,0.0,0.0,0.0,0.0
820e97fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
820e9ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,127.0,4.0,0.0,0.0,0.0,0.0
820ecffffffffff,1352.0,20.0,0.0,0.0,0.0,0.0
820ed7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
820ee7fffffffff,38.0,1.0,0.0,0.0,0.0,0.0
820eeffffffffff,2601.0,4.0,0.0,0.0,0.0,0.0
820ef7fffffffff,115.0,29.0,0.0,0.0,0.0,0.0
820f5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820f9ffffffffff,274.0,0.0,0.0,0.0,0.0,0.0
820fa7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821207fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,81.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,561.0,0.0,0.0,0.0,0.0,0.0
821227fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821247fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,144.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,647.0,100.0,0.0,0.0,0.0,0.0
82125ffffffffff,902.0,1.0,0.0,0.0,0.0,0.0
821267fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,387.0,4.0,0.0,0.0,0.0,0.0
821287fffffffff,229.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,976.0,0.0,0.0,0.0,0.0,0.0
821297fffffffff,168.0,1.0,0.0,0.0,0.0,0.0
82129ffffffffff,140.0,7.0,0.0,0.0,0.0,0.0
8212a7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,783.0,19.0,0.0,0.0,0.0,0.0
8212b7fffffffff,732.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,2568.0,28.0,0.0,0.0,0.0,0.0
8212cffffffffff,11337.0,167.0,0.0,0.0,0.0,0.0
8212d7fffffffff,2828.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,4809.0,11.0,0.0,0.0,0.0,0.0
8212e7fffffffff,346.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,4893.0,83.0,0.0,0.0,0.0,0.0
8212f7fffffffff,616.0,6.0,0.0,0.0,0.0,0.0
821307fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
821317fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
821327fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82132ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
821337fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821347fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
821377fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,2054.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,343.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,497.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,881.0,0.0,0.0,0.0,0.0,0.0
8213a7fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8213affffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,290.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,4488.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,123.0,0.0,0.0,0.0,0.0,0.0
821b87fffffffff,297.0,0.0,0.0,0.0,0.0,0.0
821b8ffffffffff,35.0,0.0,0.0,0.0,0.0,0.0
821b97fffffffff,158.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,739.0,0.0,0.0,0.0,0.0,0.0
821bb7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,74.0,0.0,0.0,0.0,0.0,0.0
8222c7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8222d7fffffffff,288.0,0.0,0.0,0.0,0.0,0.0
8222dffffffffff,240.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,852.0,58.0,0.0,0.0,0.0,0.0
82260ffffffffff,1245.0,36.0,0.0,0.0,0.0,0.0
822617fffffffff,180.0,1.0,0.0,0.0,0.0,0.0
82261ffffffffff,291.0,2.0,0.0,0.0,0.0,0.0
822627fffffffff,3358.0,174.0,0.0,0.0,0.0,0.0
82262ffffffffff,1665.0,27.0,0.0,0.0,0.0,0.0
822637fffffffff,1816.0,212.0,0.0,0.0,0.0,0.0
822647fffffffff,4364.0,174.0,0.0,0.0,0.0,0.0
82264ffffffffff,5094.0,38.0,0.0,0.0,0.0,0.0
822657fffffffff,7334.0,67.0,0.0,0.0,0.0,0.0
82265ffffffffff,5190.0,53.0,0.0,0.0,0.0,0.0
822667fffffffff,10295.0,501.0,0.0,0.0,0.0,0.0
82266ffffffffff,2610.0,89.0,0.0,0.0,0.0,0.0
822677fffffffff,856.0,13.0,0.0,0.0,0.0,0.0
822687fffffffff,3447.0,7.0,0.0,0.0,0.0,0.0
82268ffffffffff,3385.0,9.0,0.0,0.0,0.0,0.0
822697fffffffff,2670.0,605.0,0.0,0.0,0.0,0.0
82269ffffffffff,1097.0,5.0,0.0,0.0,0.0,0.0
8226a7fffffffff,124.0,0.0,0.0,0.0,0.0,0.0
