cell_id,Spermestes bicolor,Spermestes bicolor bicolor/poensis,Spermestes bicolor nigriceps/woltersi
8328d5fffffffff,6.0,0.0,0.0
8354c4fffffffff,2.0,0.0,0.0
8354c5fffffffff,2.0,0.0,0.0
8354e3fffffffff,3.0,0.0,0.0
8354eafffffffff,2.0,0.0,0.0
8354eefffffffff,2.0,0.0,0.0
836526fffffffff,1.0,0.0,1.0
837a48fffffffff,2.0,0.0,0.0
837a4cfffffffff,3.0,0.0,3.0
837a4dfffffffff,1.0,0.0,1.0
837a64fffffffff,1.0,0.0,0.0
837a68fffffffff,12.0,0.0,0.0
837a6afffffffff,5.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0
837a6efffffffff,11.0,0.0,11.0
837b4afffffffff,13.0,0.0,9.0
837b4cfffffffff,33.0,0.0,8.0
837b4efffffffff,3.0,0.0,0.0
837b59fffffffff,2.0,0.0,2.0
83972dfffffffff,7.0,0.0,7.0
83bc45fffffffff,1.0,0.0,1.0
83bcc3fffffffff,2.0,0.0,2.0
