cell_id,Buteo augur,Buteo augur augur,Buteo augur archeri
825287fffffffff,53.0,53.0,0.0
82528ffffffffff,2.0,2.0,0.0
825297fffffffff,3.0,3.0,0.0
82529ffffffffff,401.0,367.0,0.0
826a4ffffffffff,5.0,2.0,0.0
826a5ffffffffff,25.0,22.0,0.0
826a6ffffffffff,4.0,4.0,0.0
826ac7fffffffff,114.0,93.0,0.0
826acffffffffff,49.0,41.0,0.0
826adffffffffff,1235.0,1065.0,0.0
826aeffffffffff,9.0,9.0,0.0
827a47fffffffff,591.0,527.0,0.0
827a4ffffffffff,190.0,161.0,0.0
827a5ffffffffff,18.0,18.0,0.0
827a67fffffffff,668.0,578.0,0.0
827a6ffffffffff,2152.0,1903.0,0.0
827ac7fffffffff,6.0,6.0,0.0
827acffffffffff,548.0,490.0,0.0
827adffffffffff,40.0,36.0,0.0
827aeffffffffff,45.0,38.0,0.0
827b4ffffffffff,134.0,105.0,0.0
827b6ffffffffff,7.0,7.0,0.0
828307fffffffff,1.0,1.0,0.0
82831ffffffffff,3.0,3.0,0.0
828327fffffffff,15.0,14.0,0.0
828337fffffffff,8.0,3.0,0.0
8283a7fffffffff,2.0,0.0,0.0
829607fffffffff,4.0,4.0,0.0
829627fffffffff,7.0,7.0,0.0
829637fffffffff,4.0,4.0,0.0
829687fffffffff,5.0,5.0,0.0
829697fffffffff,1915.0,1696.0,0.0
82969ffffffffff,4.0,2.0,0.0
8296a7fffffffff,60.0,58.0,0.0
8296affffffffff,4.0,4.0,0.0
8296b7fffffffff,70.0,58.0,0.0
829707fffffffff,38.0,35.0,0.0
82971ffffffffff,23.0,20.0,0.0
829757fffffffff,22.0,19.0,0.0
829777fffffffff,5.0,5.0,0.0
829787fffffffff,1.0,1.0,0.0
82978ffffffffff,8.0,8.0,0.0
82979ffffffffff,3.0,3.0,0.0
8297affffffffff,11.0,11.0,0.0
82ac17fffffffff,7.0,7.0,0.0
82ac87fffffffff,42.0,25.0,0.0
82ac8ffffffffff,9.0,6.0,0.0
82aca7fffffffff,72.0,59.0,0.0
82acaffffffffff,24.0,20.0,0.0
82ad8ffffffffff,7.0,3.0,0.0
