cell_id,Monticola sharpei,Monticola sharpei sharpei,Monticola sharpei bensoni
84a210dffffffff,1.0,1.0,0.0
84a2129ffffffff,4.0,0.0,0.0
84a2143ffffffff,198.0,108.0,0.0
84a2147ffffffff,3.0,0.0,0.0
84a215dffffffff,2.0,2.0,0.0
84a2161ffffffff,1.0,0.0,0.0
84a216bffffffff,1.0,0.0,1.0
84a2227ffffffff,16.0,9.0,0.0
84a2307ffffffff,1.0,0.0,0.0
84a231bffffffff,49.0,30.0,0.0
84a233dffffffff,1.0,0.0,0.0
84a2353ffffffff,11.0,3.0,0.0
84a2355ffffffff,2.0,0.0,2.0
84a2a49ffffffff,4.0,0.0,3.0
84a2a69ffffffff,1.0,0.0,0.0
84a2ae9ffffffff,7.0,1.0,1.0
84a308bffffffff,11.0,6.0,0.0
84a3093ffffffff,5.0,0.0,0.0
84a3097ffffffff,1.0,0.0,0.0
84a3561ffffffff,1.0,0.0,0.0
84a389dffffffff,1.0,0.0,0.0
84a38b1ffffffff,1.0,0.0,0.0
84a38b3ffffffff,100.0,3.0,66.0
84a38b7ffffffff,135.0,5.0,102.0
84a38c7ffffffff,1.0,0.0,1.0
84a3993ffffffff,3.0,0.0,0.0
84a3a95ffffffff,6.0,1.0,0.0
84a3abbffffffff,4.0,3.0,0.0
