cell_id,Limnodromus griseus,Limnodromus griseus griseus,Limnodromus griseus hendersoni,Limnodromus griseus caurinus
840c1b1ffffffff,4.0,0.0,0.0,0.0
840c1b5ffffffff,1.0,0.0,0.0,0.0
840c1e1ffffffff,4.0,0.0,0.0,0.0
840c415ffffffff,53.0,0.0,0.0,0.0
840c42dffffffff,50.0,0.0,0.0,0.0
840c441ffffffff,1.0,0.0,0.0,0.0
840c443ffffffff,2.0,0.0,0.0,0.0
840c445ffffffff,1.0,0.0,0.0,0.0
840c455ffffffff,45.0,0.0,0.0,0.0
840c461ffffffff,3.0,0.0,0.0,0.0
840c465ffffffff,6.0,0.0,0.0,0.0
840c46dffffffff,10.0,0.0,0.0,0.0
840c503ffffffff,179.0,0.0,0.0,0.0
840c507ffffffff,2.0,0.0,0.0,0.0
840c50bffffffff,11.0,0.0,0.0,0.0
840c511ffffffff,2.0,0.0,0.0,0.0
840c515ffffffff,2.0,0.0,0.0,0.0
840c51dffffffff,262.0,0.0,0.0,0.0
840c54bffffffff,214.0,0.0,0.0,1.0
840c551ffffffff,8.0,0.0,0.0,0.0
840c555ffffffff,418.0,0.0,0.0,0.0
840c55dffffffff,2.0,0.0,0.0,0.0
840c5a1ffffffff,5.0,0.0,0.0,0.0
840c5a5ffffffff,256.0,0.0,0.0,0.0
840c5a7ffffffff,2.0,0.0,0.0,0.0
840c5adffffffff,5.0,0.0,0.0,0.0
840c5e5ffffffff,2.0,0.0,0.0,0.0
840c68bffffffff,4.0,0.0,0.0,0.0
840c6adffffffff,26.0,0.0,0.0,0.0
840c731ffffffff,45.0,0.0,0.0,0.0
840c733ffffffff,1774.0,0.0,0.0,66.0
840c735ffffffff,16.0,0.0,0.0,0.0
840c73bffffffff,9.0,0.0,0.0,0.0
840cd8dffffffff,31.0,0.0,0.0,0.0
840cdebffffffff,4.0,0.0,0.0,0.0
840ce17ffffffff,41.0,0.0,0.0,0.0
840ce33ffffffff,6.0,0.0,0.0,0.0
840ce3dffffffff,3.0,0.0,0.0,0.0
840ce97ffffffff,2.0,0.0,0.0,0.0
840ceadffffffff,1.0,0.0,0.0,0.0
840ced3ffffffff,1.0,0.0,0.0,0.0
840cee5ffffffff,2.0,0.0,0.0,0.0
840cee7ffffffff,3.0,0.0,0.0,0.0
840cee9ffffffff,19.0,0.0,0.0,0.0
840ceedffffffff,20.0,0.0,0.0,0.0
840e443ffffffff,1.0,0.0,0.0,0.0
840e453ffffffff,2.0,0.0,0.0,0.0
840e491ffffffff,11.0,0.0,0.0,0.0
840e493ffffffff,19.0,2.0,0.0,0.0
840e497ffffffff,53.0,0.0,0.0,0.0
840e499ffffffff,8.0,0.0,0.0,0.0
840e49bffffffff,22.0,0.0,0.0,0.0
840e4d3ffffffff,49.0,0.0,0.0,0.0
840e4dbffffffff,190.0,0.0,0.0,0.0
840e623ffffffff,3.0,0.0,0.0,0.0
840e6cdffffffff,2.0,0.0,0.0,0.0
840e6e7ffffffff,1.0,0.0,0.0,0.0
840e805ffffffff,1718.0,0.0,0.0,0.0
840e807ffffffff,1.0,0.0,0.0,0.0
840e835ffffffff,2.0,0.0,0.0,0.0
840e83bffffffff,4.0,0.0,0.0,0.0
840e863ffffffff,2.0,0.0,0.0,0.0
840e8ddffffffff,1.0,0.0,0.0,0.0
840e8e1ffffffff,2.0,0.0,0.0,0.0
840e8e9ffffffff,4.0,0.0,0.0,0.0
840ec19ffffffff,72.0,0.0,5.0,0.0
840ec4dffffffff,2.0,0.0,0.0,0.0
840ec55ffffffff,1.0,0.0,0.0,0.0
840ec57ffffffff,2.0,0.0,0.0,0.0
840ecc9ffffffff,209.0,0.0,0.0,0.0
840ee13ffffffff,2.0,0.0,0.0,0.0
840ee27ffffffff,1.0,0.0,0.0,0.0
