cell_id,Oenanthe pleschanka,Oenanthe pleschanka (vittata form)
840b93dffffffff,2.0,0.0
841e4b1ffffffff,3.0,0.0
841e4bbffffffff,4.0,0.0
841e4bdffffffff,2.0,0.0
841e593ffffffff,8.0,0.0
841e5a5ffffffff,1.0,0.0
841e5d1ffffffff,7.0,0.0
841e5ddffffffff,3.0,0.0
841e5e5ffffffff,11.0,0.0
841e5e7ffffffff,1.0,0.0
841e697ffffffff,2.0,0.0
841ee91ffffffff,5.0,0.0
841ee97ffffffff,96.0,0.0
841ee99ffffffff,6.0,0.0
841eeb9ffffffff,3.0,0.0
841eed3ffffffff,21.0,0.0
841eedbffffffff,21.0,0.0
84200a1ffffffff,5.0,0.0
84200a5ffffffff,3.0,0.0
84200a7ffffffff,4.0,0.0
84200a9ffffffff,1.0,0.0
84200e3ffffffff,1.0,0.0
8420101ffffffff,7.0,0.0
842010dffffffff,4.0,0.0
8420139ffffffff,6.0,0.0
842013dffffffff,1.0,0.0
8420141ffffffff,2.0,0.0
8420147ffffffff,2.0,0.0
842016bffffffff,3.0,0.0
842016dffffffff,2.0,0.0
8420185ffffffff,9.0,0.0
8420191ffffffff,11.0,0.0
8420193ffffffff,35.0,0.0
8420195ffffffff,7.0,0.0
8420197ffffffff,2.0,0.0
8420199ffffffff,14.0,0.0
84201a7ffffffff,5.0,0.0
84201abffffffff,7.0,0.0
84201b7ffffffff,5.0,0.0
84201b9ffffffff,3.0,0.0
84201bbffffffff,3.0,0.0
84201bdffffffff,1.0,0.0
8420483ffffffff,2.0,0.0
8420497ffffffff,2.0,0.0
84204a1ffffffff,19.0,0.0
84204a5ffffffff,5.0,0.0
84204adffffffff,1.0,0.0
84204b5ffffffff,9.0,0.0
84204b9ffffffff,2.0,0.0
84204cbffffffff,4.0,0.0
84204d1ffffffff,4.0,0.0
84204d3ffffffff,3.0,0.0
84204ddffffffff,2.0,0.0
84204e7ffffffff,1.0,0.0
842050dffffffff,1.0,0.0
8420591ffffffff,2.0,0.0
8420595ffffffff,5.0,0.0
842059bffffffff,12.0,0.0
84205b9ffffffff,3.0,0.0
84206b5ffffffff,2.0,0.0
842083dffffffff,1.0,0.0
8420841ffffffff,1.0,0.0
8420847ffffffff,9.0,0.0
8420855ffffffff,2.0,0.0
842099bffffffff,6.0,0.0
8420a05ffffffff,2.0,0.0
8420a21ffffffff,4.0,0.0
8420a25ffffffff,2.0,0.0
