cell_id,Atimastillas flavigula,Atimastillas flavigula soror,Atimastillas flavigula flavigula
84529b5ffffffff,1.0,0.0,0.0
8458d23ffffffff,1.0,0.0,0.0
8458d35ffffffff,3.0,0.0,0.0
8458db1ffffffff,1.0,0.0,0.0
8458db5ffffffff,6.0,0.0,0.0
8458debffffffff,9.0,0.0,0.0
8458dedffffffff,2.0,0.0,0.0
846ac03ffffffff,15.0,0.0,3.0
846ac0bffffffff,5.0,0.0,0.0
846ac13ffffffff,1.0,0.0,1.0
846ac15ffffffff,110.0,0.0,10.0
846ac19ffffffff,2.0,0.0,2.0
846ac31ffffffff,8.0,0.0,0.0
846ac33ffffffff,8.0,0.0,0.0
846ac35ffffffff,5.0,0.0,2.0
846ac37ffffffff,3.0,0.0,3.0
846ac3dffffffff,20.0,0.0,6.0
846ac51ffffffff,1.0,0.0,0.0
846ac89ffffffff,233.0,0.0,30.0
846ac8dffffffff,3.0,0.0,0.0
846ac93ffffffff,15.0,0.0,0.0
846ac9bffffffff,10.0,0.0,0.0
846aca5ffffffff,2.0,0.0,0.0
846acc3ffffffff,2.0,0.0,0.0
846acc7ffffffff,8.0,0.0,0.0
846accbffffffff,7.0,0.0,0.0
846acd1ffffffff,4.0,0.0,0.0
846acd5ffffffff,15.0,0.0,4.0
846ace3ffffffff,2.0,0.0,2.0
846ace5ffffffff,169.0,0.0,11.0
846ad81ffffffff,43.0,0.0,0.0
846ad89ffffffff,3.0,0.0,0.0
846ad8bffffffff,15.0,0.0,0.0
846ad8dffffffff,7.0,0.0,0.0
846ad9dffffffff,4.0,0.0,0.0
846adc1ffffffff,140.0,0.0,4.0
846adc3ffffffff,20.0,0.0,4.0
846adc5ffffffff,15.0,0.0,0.0
846adc7ffffffff,10.0,0.0,0.0
846adc9ffffffff,110.0,0.0,2.0
846adcbffffffff,2.0,0.0,0.0
846adcdffffffff,1.0,0.0,0.0
846add5ffffffff,3.0,0.0,0.0
846add7ffffffff,11.0,0.0,0.0
846add9ffffffff,3.0,0.0,0.0
846adddffffffff,3.0,0.0,0.0
846ade3ffffffff,5.0,0.0,0.0
846ade7ffffffff,11.0,0.0,0.0
846ade9ffffffff,36.0,0.0,0.0
846adebffffffff,59.0,0.0,0.0
846ae0bffffffff,2.0,0.0,0.0
846ae15ffffffff,1.0,0.0,0.0
846ae85ffffffff,53.0,0.0,1.0
846aea1ffffffff,30.0,0.0,5.0
846aea3ffffffff,22.0,0.0,0.0
846aea5ffffffff,4.0,0.0,0.0
846aea9ffffffff,17.0,0.0,0.0
846aeabffffffff,6.0,0.0,0.0
846aeb5ffffffff,5.0,0.0,1.0
846aee3ffffffff,7.0,0.0,0.0
846aee7ffffffff,1.0,0.0,0.0
846aee9ffffffff,2.0,0.0,0.0
847a481ffffffff,4.0,0.0,0.0
847a489ffffffff,34.0,0.0,0.0
847a4c3ffffffff,7.0,0.0,0.0
847a4c7ffffffff,2.0,0.0,0.0
847a4cbffffffff,144.0,0.0,0.0
847a4d1ffffffff,86.0,0.0,0.0
847a4d5ffffffff,5.0,0.0,0.0
847a4d7ffffffff,3.0,0.0,0.0
847a4d9ffffffff,18.0,0.0,0.0
847a4dbffffffff,4.0,0.0,0.0
847a4ddffffffff,80.0,0.0,0.0
847a6b3ffffffff,7.0,0.0,0.0
847a6b5ffffffff,9.0,0.0,0.0
847a6b7ffffffff,25.0,0.0,0.0
847a6bbffffffff,3.0,0.0,0.0
84821a7ffffffff,1.0,0.0,0.0
84828b5ffffffff,17.0,2.0,0.0
84828e1ffffffff,1.0,0.0,0.0
8482a09ffffffff,7.0,0.0,0.0
8482a0bffffffff,3.0,0.0,0.0
8482a1dffffffff,3.0,0.0,0.0
8482a3bffffffff,3.0,0.0,0.0
8482a81ffffffff,9.0,0.0,0.0
8482a83ffffffff,4.0,0.0,0.0
8482a91ffffffff,6.0,0.0,0.0
8482aadffffffff,2.0,0.0,0.0
8482ac5ffffffff,1.0,0.0,0.0
8482d3dffffffff,1.0,0.0,0.0
8483125ffffffff,14.0,0.0,4.0
8483127ffffffff,3.0,0.0,0.0
8483151ffffffff,2.0,0.0,0.0
84831e5ffffffff,2.0,0.0,0.0
8483335ffffffff,2.0,0.0,0.0
848333dffffffff,4.0,0.0,0.0
8483a89ffffffff,2.0,0.0,2.0
8496003ffffffff,1.0,0.0,0.0
8496009ffffffff,11.0,0.0,0.0
849600bffffffff,3.0,0.0,0.0
8496015ffffffff,7.0,0.0,0.0
849602dffffffff,14.0,0.0,5.0
849603bffffffff,6.0,0.0,0.0
8496047ffffffff,8.0,0.0,0.0
8496089ffffffff,13.0,0.0,4.0
849608bffffffff,1.0,0.0,1.0
849608dffffffff,3.0,0.0,0.0
8496093ffffffff,4.0,0.0,0.0
8496097ffffffff,22.0,0.0,0.0
8496099ffffffff,5.0,0.0,0.0
849609dffffffff,1.0,0.0,0.0
84960a3ffffffff,1.0,0.0,0.0
84960bbffffffff,8.0,0.0,0.0
8496101ffffffff,3.0,0.0,0.0
8496131ffffffff,3.0,0.0,0.0
849615dffffffff,5.0,0.0,2.0
8496569ffffffff,3.0,0.0,0.0
8496703ffffffff,1.0,0.0,0.0
8496721ffffffff,2.0,0.0,0.0
849673bffffffff,1.0,0.0,0.0
84968cdffffffff,2.0,0.0,2.0
84969bdffffffff,3.0,0.0,1.0
8496ed5ffffffff,1.0,0.0,0.0
