cell_id,Quiscalus lugubris,Quiscalus lugubris [lugubris Group],Quiscalus lugubris fortirostris
834d49fffffffff,176.0,0.0,0.0
834d4bfffffffff,147.0,0.0,0.0
835e40fffffffff,3.0,0.0,0.0
835e42fffffffff,61.0,0.0,0.0
835e43fffffffff,627.0,0.0,0.0
835e46fffffffff,958.0,0.0,0.0
835e4afffffffff,44.0,0.0,0.0
835e4bfffffffff,397.0,0.0,0.0
835e59fffffffff,153.0,0.0,0.0
835e5cfffffffff,426.0,0.0,0.0
835e5dfffffffff,1174.0,0.0,0.0
835e62fffffffff,188.0,0.0,0.0
835e65fffffffff,15.0,0.0,0.0
835e66fffffffff,1016.0,0.0,0.0
835e70fffffffff,288.0,0.0,0.0
835e71fffffffff,330.0,0.0,0.0
835e72fffffffff,743.0,0.0,0.0
835e75fffffffff,148.0,0.0,0.0
835f03fffffffff,1.0,0.0,0.0
835f08fffffffff,155.0,0.0,0.0
835f09fffffffff,199.0,0.0,0.0
835f0bfffffffff,60.0,0.0,0.0
835f0efffffffff,18.0,0.0,0.0
835f12fffffffff,32.0,0.0,0.0
835f13fffffffff,17.0,0.0,0.0
835f1cfffffffff,5.0,0.0,0.0
835f1dfffffffff,4.0,0.0,0.0
835f1efffffffff,19.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0
835f2bfffffffff,2.0,0.0,0.0
835f40fffffffff,84.0,0.0,0.0
835f41fffffffff,52.0,0.0,0.0
835f42fffffffff,8.0,0.0,0.0
835f43fffffffff,50.0,0.0,0.0
835f46fffffffff,11.0,0.0,0.0
835f48fffffffff,38.0,0.0,0.0
835f49fffffffff,92.0,0.0,0.0
835f4afffffffff,34.0,0.0,0.0
835f4bfffffffff,500.0,0.0,0.0
835f4cfffffffff,2.0,0.0,0.0
835f4dfffffffff,10.0,0.0,0.0
835f4efffffffff,50.0,0.0,0.0
835f58fffffffff,2311.0,0.0,0.0
835f59fffffffff,119.0,0.0,0.0
