cell_id,Dryocopus lineatus,Dryocopus lineatus [lineatus Group],Dryocopus lineatus fuscipennis
834424fffffffff,18.0,0.0,0.0
834501fffffffff,158.0,2.0,0.0
834505fffffffff,364.0,0.0,0.0
834508fffffffff,607.0,24.0,0.0
834509fffffffff,263.0,15.0,0.0
83450afffffffff,629.0,12.0,0.0
83450bfffffffff,300.0,12.0,0.0
83450cfffffffff,149.0,4.0,0.0
83450dfffffffff,318.0,108.0,0.0
83450efffffffff,587.0,30.0,0.0
834520fffffffff,370.0,0.0,0.0
834521fffffffff,1236.0,0.0,0.0
834522fffffffff,546.0,0.0,0.0
834523fffffffff,721.0,0.0,0.0
834524fffffffff,836.0,0.0,0.0
834525fffffffff,269.0,0.0,0.0
834526fffffffff,858.0,0.0,0.0
834528fffffffff,779.0,27.0,0.0
834529fffffffff,24.0,0.0,0.0
83452afffffffff,2159.0,8.0,0.0
83452bfffffffff,226.0,17.0,0.0
83452cfffffffff,1109.0,72.0,0.0
83452dfffffffff,233.0,19.0,0.0
83452efffffffff,6490.0,123.0,0.0
834530fffffffff,38.0,0.0,0.0
834531fffffffff,63.0,0.0,0.0
834532fffffffff,159.0,0.0,0.0
834534fffffffff,131.0,0.0,0.0
834535fffffffff,328.0,0.0,0.0
834536fffffffff,78.0,0.0,0.0
834564fffffffff,13.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0
83456dfffffffff,9.0,0.0,0.0
834572fffffffff,167.0,36.0,0.0
834574fffffffff,5.0,0.0,0.0
834576fffffffff,28.0,3.0,0.0
834802fffffffff,5.0,0.0,0.0
834806fffffffff,30.0,0.0,0.0
83480afffffffff,152.0,0.0,0.0
834815fffffffff,15.0,0.0,0.0
83481dfffffffff,14.0,0.0,0.0
834830fffffffff,12.0,0.0,0.0
834832fffffffff,6.0,0.0,0.0
834833fffffffff,154.0,0.0,0.0
834836fffffffff,3186.0,75.0,0.0
8348b4fffffffff,11.0,0.0,0.0
834990fffffffff,54.0,0.0,0.0
834991fffffffff,21.0,0.0,0.0
834992fffffffff,42.0,5.0,0.0
834993fffffffff,12.0,3.0,0.0
834996fffffffff,1861.0,190.0,0.0
834998fffffffff,219.0,2.0,0.0
83499bfffffffff,9.0,0.0,0.0
83499cfffffffff,23.0,0.0,0.0
83499efffffffff,129.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,48.0,0.0,0.0
8349a3fffffffff,9.0,0.0,0.0
8349a8fffffffff,161.0,2.0,0.0
8349a9fffffffff,779.0,24.0,0.0
8349aafffffffff,5.0,0.0,0.0
8349acfffffffff,4.0,0.0,0.0
8349adfffffffff,17.0,2.0,0.0
8349aefffffffff,8.0,0.0,0.0
8349b0fffffffff,5.0,0.0,0.0
8349b1fffffffff,4.0,0.0,0.0
8349b3fffffffff,4.0,0.0,0.0
8349b4fffffffff,2.0,0.0,0.0
8349b5fffffffff,53.0,0.0,0.0
8349b6fffffffff,9.0,0.0,0.0
835f00fffffffff,1.0,0.0,0.0
