cell_id,Dicrurus forficatus,Dicrurus forficatus forficatus,Dicrurus forficatus potior
84a2143ffffffff,2.0,0.0,0.0
84a231bffffffff,1.0,1.0,0.0
84a2a49ffffffff,1.0,1.0,0.0
84a38b3ffffffff,1.0,1.0,0.0
