cell_id,Chloris sinica,Chloris sinica [sinica Group],Chloris sinica kittlitzi
821657fffffffff,2.0,0.0,0.0
82246ffffffffff,5.0,0.0,0.0
8224c7fffffffff,3.0,0.0,0.0
822807fffffffff,2.0,0.0,0.0
82281ffffffffff,21.0,0.0,0.0
822e0ffffffffff,2.0,0.0,0.0
822e17fffffffff,1.0,1.0,0.0
822f5ffffffffff,4.0,2.0,0.0
823037fffffffff,7.0,0.0,0.0
82309ffffffffff,9.0,0.0,0.0
823137fffffffff,2.0,0.0,0.0
82316ffffffffff,2.0,0.0,0.0
823187fffffffff,5.0,0.0,0.0
823197fffffffff,2.0,2.0,0.0
8231affffffffff,8.0,8.0,0.0
82408ffffffffff,2.0,2.0,0.0
8240e7fffffffff,4.0,4.0,0.0
82411ffffffffff,5.0,0.0,0.0
8241a7fffffffff,13.0,0.0,0.0
8241b7fffffffff,6.0,0.0,0.0
824b77fffffffff,14.0,2.0,0.0
824ba7fffffffff,7.0,0.0,0.0
826497fffffffff,3.0,0.0,0.0
